Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Class
M,0.595,0.465,0.15,0.4335,0.1765,negative
F,0.62,0.49,0.16,0.493,0.244,negative
M,0.645,0.495,0.15,0.603,0.2225,negative
I,0.41,0.31,0.11,0.124,0.082,negative
M,0.375,0.29,0.1,0.1175,0.0565,negative
I,0.455,0.355,0.08,0.2165,0.0995,negative
I,0.475,0.36,0.11,0.177,0.0965,negative
I,0.455,0.37,0.125,0.201,0.1265,negative
M,0.585,0.455,0.14,0.462,0.185,negative
M,0.44,0.35,0.11,0.2,0.0885,negative
I,0.46,0.35,0.11,0.1685,0.0865,negative
F,0.56,0.425,0.125,0.361,0.213,negative
M,0.455,0.35,0.105,0.1575,0.083,negative
F,0.415,0.325,0.115,0.1405,0.0765,negative
F,0.55,0.47,0.15,0.377,0.184,negative
F,0.52,0.4,0.125,0.295,0.1715,negative
F,0.61,0.45,0.16,0.414,0.311,negative
M,0.445,0.34,0.12,0.193,0.1035,negative
M,0.615,0.48,0.19,0.5305,0.2375,positive
F,0.745,0.585,0.19,0.8435,0.437,positive
M,0.66,0.505,0.2,0.4865,0.297,positive
F,0.55,0.425,0.145,0.297,0.15,negative
F,0.505,0.4,0.165,0.2675,0.155,negative
F,0.56,0.445,0.18,0.3575,0.2045,negative
M,0.46,0.375,0.14,0.192,0.1045,negative
F,0.47,0.365,0.12,0.2295,0.1495,negative
M,0.51,0.405,0.13,0.3725,0.158,negative
F,0.6,0.475,0.18,0.511,0.2675,positive
M,0.44,0.375,0.13,0.226,0.0965,negative
I,0.405,0.315,0.105,0.1605,0.0785,negative
F,0.5,0.395,0.15,0.3235,0.173,negative
I,0.42,0.33,0.1,0.1635,0.089,negative
F,0.38,0.3,0.09,0.1545,0.075,negative
M,0.46,0.375,0.13,0.2505,0.119,negative
I,0.42,0.345,0.115,0.1515,0.0795,negative
F,0.565,0.48,0.175,0.3885,0.215,positive
F,0.515,0.42,0.135,0.2815,0.127,negative
F,0.45,0.36,0.105,0.2035,0.0935,negative
M,0.7,0.53,0.19,0.548,0.233,positive
F,0.66,0.525,0.205,0.5005,0.291,positive
I,0.42,0.305,0.11,0.094,0.0785,negative
M,0.57,0.475,0.195,0.4635,0.1905,positive
I,0.5,0.395,0.12,0.2165,0.1085,negative
M,0.425,0.315,0.125,0.1135,0.0565,positive
F,0.465,0.35,0.13,0.1945,0.103,positive
M,0.34,0.255,0.095,0.081,0.034,negative
F,0.635,0.5,0.18,0.529,0.2485,positive
I,0.335,0.24,0.095,0.062,0.039,negative
F,0.345,0.255,0.1,0.071,0.051,negative
M,0.475,0.355,0.125,0.186,0.107,negative
M,0.5,0.355,0.14,0.2125,0.149,negative
F,0.37,0.285,0.105,0.1125,0.0585,negative
M,0.395,0.305,0.105,0.0975,0.065,negative
M,0.425,0.325,0.12,0.142,0.1065,negative
M,0.645,0.485,0.155,0.5915,0.312,positive
M,0.4,0.305,0.13,0.096,0.0675,negative
F,0.33,0.26,0.08,0.0625,0.05,negative
M,0.525,0.425,0.19,0.4625,0.1725,negative
M,0.54,0.42,0.12,0.392,0.1455,negative
F,0.565,0.44,0.15,0.4475,0.2355,negative
M,0.59,0.455,0.16,0.5,0.2215,negative
F,0.6,0.475,0.135,0.5885,0.191,negative
M,0.59,0.48,0.16,0.5685,0.2725,negative
F,0.6,0.485,0.165,0.587,0.2175,negative
F,0.69,0.55,0.18,0.8715,0.2655,negative
M,0.465,0.34,0.105,0.231,0.1035,negative
M,0.515,0.395,0.12,0.285,0.1365,negative
F,0.595,0.47,0.155,0.542,0.269,negative
M,0.6,0.46,0.15,0.5335,0.2735,negative
F,0.57,0.445,0.15,0.504,0.185,negative
M,0.54,0.435,0.14,0.33,0.1595,negative
F,0.62,0.51,0.175,0.5415,0.323,negative
F,0.595,0.465,0.15,0.491,0.22,negative
F,0.625,0.49,0.165,0.477,0.2365,negative
F,0.62,0.475,0.16,0.6865,0.233,negative
F,0.63,0.495,0.145,0.5455,0.266,negative
M,0.645,0.49,0.16,0.5355,0.3345,negative
F,0.65,0.5,0.185,0.741,0.2955,negative
M,0.67,0.52,0.19,0.8115,0.369,negative
M,0.5,0.38,0.12,0.273,0.135,negative
I,0.515,0.4,0.125,0.265,0.1175,negative
I,0.52,0.395,0.135,0.2985,0.1295,negative
F,0.545,0.43,0.14,0.4355,0.17,negative
F,0.545,0.4,0.14,0.368,0.215,negative
M,0.565,0.43,0.13,0.3495,0.1885,negative
F,0.57,0.45,0.18,0.4015,0.217,negative
M,0.57,0.45,0.135,0.546,0.204,negative
F,0.57,0.43,0.16,0.3875,0.159,negative
M,0.59,0.46,0.14,0.496,0.2165,negative
M,0.595,0.47,0.165,0.4915,0.2325,negative
M,0.595,0.46,0.14,0.4215,0.2255,negative
F,0.615,0.475,0.17,0.543,0.246,negative
F,0.615,0.47,0.155,0.5885,0.209,negative
M,0.62,0.49,0.155,0.505,0.2475,negative
F,0.625,0.49,0.155,0.484,0.277,negative
M,0.645,0.48,0.15,0.6055,0.2595,negative
M,0.645,0.515,0.16,0.506,0.311,negative
F,0.645,0.52,0.18,0.5775,0.352,negative
M,0.65,0.515,0.125,0.5235,0.283,negative
M,0.65,0.52,0.175,0.615,0.2775,negative
M,0.65,0.51,0.155,0.7215,0.298,negative
F,0.65,0.49,0.155,0.545,0.228,negative
F,0.665,0.505,0.165,0.5985,0.3175,negative
M,0.725,0.55,0.2,0.8735,0.4265,negative
I,0.445,0.36,0.11,0.182,0.0765,negative
I,0.505,0.385,0.125,0.245,0.097,negative
I,0.505,0.38,0.135,0.2645,0.095,negative
F,0.515,0.395,0.135,0.2015,0.132,negative
I,0.525,0.375,0.12,0.3045,0.114,negative
I,0.55,0.42,0.155,0.495,0.1805,negative
I,0.55,0.465,0.15,0.481,0.174,negative
F,0.575,0.435,0.155,0.4115,0.2325,negative
F,0.58,0.425,0.15,0.3645,0.185,negative
I,0.585,0.42,0.145,0.2895,0.1345,negative
M,0.6,0.45,0.145,0.4325,0.155,negative
M,0.59,0.47,0.145,0.4545,0.173,negative
M,0.65,0.52,0.155,0.6185,0.288,negative
M,0.6,0.51,0.185,0.6095,0.2745,negative
F,0.62,0.465,0.14,0.6005,0.2195,negative
F,0.66,0.505,0.19,0.6255,0.3375,negative
F,0.675,0.525,0.17,0.8365,0.352,negative
F,0.705,0.54,0.205,0.8265,0.417,negative
M,0.725,0.57,0.19,1.253,0.541,negative
M,0.5,0.365,0.13,0.309,0.1085,negative
M,0.52,0.4,0.105,0.4515,0.1615,negative
F,0.525,0.43,0.135,0.4325,0.18,negative
F,0.54,0.42,0.14,0.38,0.1805,negative
F,0.54,0.415,0.15,0.3875,0.1875,negative
M,0.59,0.47,0.155,0.6245,0.233,negative
M,0.59,0.485,0.155,0.4535,0.2435,negative
M,0.595,0.435,0.16,0.4255,0.224,negative
F,0.625,0.485,0.16,0.591,0.259,negative
M,0.58,0.445,0.16,0.49,0.201,negative
M,0.6,0.475,0.175,0.5105,0.256,negative
F,0.645,0.49,0.16,0.4935,0.3155,negative
I,0.46,0.36,0.14,0.161,0.087,negative
I,0.505,0.425,0.125,0.245,0.1375,negative
I,0.5,0.39,0.13,0.2115,0.104,negative
I,0.51,0.4,0.145,0.231,0.143,negative
F,0.55,0.435,0.14,0.347,0.174,negative
I,0.56,0.435,0.13,0.354,0.173,negative
I,0.575,0.455,0.16,0.495,0.195,negative
F,0.58,0.45,0.17,0.4615,0.232,negative
F,0.58,0.45,0.15,0.393,0.212,negative
I,0.585,0.45,0.135,0.3795,0.187,negative
M,0.59,0.5,0.15,0.485,0.265,negative
I,0.59,0.46,0.125,0.334,0.15,negative
F,0.6,0.45,0.15,0.4375,0.2225,negative
I,0.6,0.445,0.135,0.445,0.2035,negative
M,0.605,0.49,0.18,0.457,0.29,negative
F,0.615,0.515,0.135,0.545,0.2305,negative
F,0.62,0.475,0.15,0.455,0.1865,negative
M,0.63,0.53,0.18,0.618,0.256,negative
I,0.67,0.485,0.175,0.5355,0.322,negative
M,0.67,0.525,0.17,0.715,0.3025,negative
M,0.67,0.525,0.195,0.6595,0.2675,negative
F,0.51,0.37,0.21,0.508,0.292,negative
M,0.555,0.425,0.15,0.4625,0.1845,negative
M,0.56,0.425,0.135,0.509,0.2015,negative
F,0.59,0.44,0.14,0.4775,0.2105,negative
F,0.625,0.49,0.11,0.5265,0.1915,negative
M,0.61,0.475,0.175,0.409,0.261,negative
M,0.64,0.485,0.16,0.456,0.2245,negative
M,0.61,0.485,0.17,0.597,0.3035,negative
F,0.635,0.51,0.17,0.532,0.271,negative
I,0.44,0.32,0.105,0.1755,0.074,negative
I,0.455,0.355,0.105,0.138,0.0765,negative
I,0.475,0.375,0.11,0.182,0.099,negative
I,0.535,0.42,0.145,0.273,0.1515,negative
M,0.56,0.45,0.145,0.3885,0.2095,negative
I,0.565,0.44,0.135,0.3305,0.1385,negative
M,0.575,0.47,0.15,0.4505,0.196,negative
I,0.575,0.445,0.16,0.45,0.1935,negative
M,0.59,0.435,0.165,0.4525,0.2395,negative
M,0.59,0.405,0.15,0.326,0.2615,negative
M,0.595,0.48,0.14,0.4095,0.1825,negative
F,0.595,0.46,0.16,0.4005,0.2025,negative
M,0.635,0.5,0.18,0.4405,0.2315,negative
F,0.635,0.49,0.155,0.4775,0.3035,negative
F,0.64,0.5,0.15,0.559,0.231,negative
F,0.655,0.49,0.16,0.5455,0.2615,negative
M,0.525,0.4,0.13,0.2655,0.147,negative
M,0.53,0.415,0.12,0.3355,0.1635,negative
F,0.53,0.395,0.115,0.249,0.1375,negative
F,0.525,0.4,0.13,0.3115,0.131,negative
M,0.575,0.48,0.15,0.4355,0.2605,negative
F,0.62,0.485,0.155,0.5105,0.271,negative
M,0.575,0.45,0.135,0.354,0.209,negative
M,0.46,0.35,0.125,0.1885,0.1145,negative
F,0.485,0.39,0.1,0.2215,0.1155,negative
M,0.425,0.335,0.1,0.1755,0.092,negative
F,0.625,0.48,0.2,0.6075,0.3055,negative
M,0.505,0.395,0.125,0.29,0.1555,negative
F,0.43,0.35,0.09,0.1575,0.089,negative
M,0.55,0.435,0.11,0.3415,0.203,negative
F,0.55,0.44,0.125,0.33,0.2125,negative
F,0.545,0.41,0.115,0.29,0.158,negative
F,0.64,0.54,0.175,0.627,0.271,positive
M,0.45,0.355,0.12,0.147,0.0765,negative
F,0.545,0.405,0.175,0.2585,0.207,positive
F,0.49,0.38,0.155,0.2395,0.1255,negative
M,0.335,0.265,0.095,0.0795,0.0375,negative
I,0.32,0.25,0.08,0.057,0.034,negative
M,0.385,0.305,0.09,0.109,0.0515,negative
M,0.52,0.435,0.195,0.2985,0.2135,positive
I,0.44,0.35,0.12,0.1425,0.0965,negative
I,0.42,0.325,0.125,0.1575,0.1025,negative
M,0.635,0.51,0.155,0.428,0.289,positive
F,0.435,0.35,0.125,0.197,0.1145,negative
M,0.505,0.385,0.11,0.3185,0.15,negative
M,0.64,0.505,0.165,0.6145,0.3035,positive
F,0.5,0.405,0.14,0.265,0.124,positive
F,0.655,0.53,0.19,0.493,0.318,positive
M,0.53,0.405,0.13,0.2845,0.17,negative
I,0.485,0.355,0.12,0.21,0.122,negative
F,0.45,0.325,0.135,0.1805,0.1165,negative
M,0.35,0.26,0.09,0.0745,0.041,negative
M,0.41,0.3,0.1,0.124,0.069,negative
M,0.41,0.315,0.095,0.121,0.0735,negative
M,0.605,0.475,0.16,0.5495,0.332,positive
M,0.365,0.285,0.085,0.0855,0.0515,negative
M,0.545,0.41,0.145,0.3035,0.196,positive
M,0.48,0.395,0.15,0.2145,0.1405,positive
I,0.35,0.265,0.11,0.066,0.059,negative
M,0.49,0.395,0.12,0.3325,0.1235,negative
F,0.56,0.465,0.16,0.432,0.2025,negative
F,0.49,0.4,0.115,0.256,0.1325,negative
M,0.61,0.47,0.155,0.497,0.2175,negative
M,0.58,0.46,0.15,0.491,0.221,negative
M,0.6,0.475,0.155,0.502,0.2295,negative
M,0.62,0.485,0.165,0.5235,0.2505,negative
F,0.64,0.48,0.195,0.4915,0.2345,negative
M,0.64,0.5,0.17,0.642,0.3575,negative
F,0.725,0.58,0.185,0.8045,0.3595,negative
F,0.555,0.43,0.135,0.4055,0.163,negative
F,0.585,0.45,0.145,0.4845,0.242,negative
F,0.595,0.47,0.165,0.491,0.1905,negative
M,0.625,0.47,0.175,0.605,0.258,negative
M,0.65,0.505,0.18,0.7115,0.3335,negative
F,0.66,0.5,0.175,0.556,0.2805,negative
F,0.64,0.475,0.175,0.4865,0.341,negative
I,0.4,0.265,0.1,0.1245,0.0605,negative
I,0.48,0.355,0.125,0.2385,0.0835,negative
I,0.475,0.355,0.125,0.2155,0.1105,negative
I,0.5,0.365,0.125,0.229,0.103,negative
I,0.515,0.4,0.135,0.3055,0.1215,negative
I,0.53,0.405,0.13,0.2945,0.1395,negative
I,0.57,0.42,0.13,0.3535,0.1505,negative
I,0.535,0.41,0.13,0.268,0.1225,negative
I,0.575,0.44,0.125,0.4555,0.1715,negative
F,0.575,0.475,0.16,0.3605,0.221,negative
M,0.575,0.45,0.155,0.3605,0.211,negative
M,0.58,0.47,0.165,0.54,0.166,negative
F,0.585,0.46,0.165,0.486,0.25,negative
F,0.585,0.465,0.165,0.4035,0.2275,negative
F,0.6,0.47,0.17,0.4995,0.2245,negative
F,0.6,0.485,0.145,0.3545,0.1585,negative
M,0.625,0.48,0.16,0.5795,0.2145,negative
F,0.625,0.5,0.175,0.564,0.302,negative
F,0.555,0.405,0.12,0.4585,0.196,negative
M,0.625,0.485,0.16,0.631,0.2235,negative
F,0.65,0.475,0.165,0.58,0.3485,negative
M,0.58,0.45,0.16,0.3935,0.221,negative
M,0.62,0.46,0.16,0.4915,0.2,negative
M,0.615,0.475,0.19,0.7315,0.305,negative
F,0.64,0.5,0.17,0.565,0.3375,negative
F,0.665,0.5,0.175,0.643,0.345,negative
I,0.465,0.37,0.115,0.1515,0.0935,negative
I,0.475,0.335,0.1,0.1895,0.086,negative
I,0.475,0.35,0.125,0.1905,0.079,negative
I,0.49,0.39,0.12,0.2205,0.103,negative
I,0.515,0.405,0.13,0.213,0.134,negative
I,0.53,0.425,0.13,0.3905,0.2005,negative
I,0.53,0.42,0.14,0.256,0.1855,negative
M,0.53,0.41,0.125,0.346,0.173,negative
M,0.545,0.41,0.14,0.349,0.15,negative
I,0.55,0.4,0.135,0.3315,0.1495,negative
I,0.575,0.45,0.145,0.4675,0.18,negative
I,0.555,0.43,0.15,0.345,0.1755,negative
F,0.61,0.495,0.165,0.4525,0.273,negative
I,0.585,0.46,0.14,0.326,0.153,negative
F,0.63,0.505,0.195,0.516,0.3305,negative
F,0.67,0.54,0.2,0.6435,0.328,negative
F,0.675,0.53,0.195,0.62,0.375,negative
I,0.465,0.36,0.105,0.22,0.159,negative
M,0.51,0.38,0.135,0.3435,0.142,negative
I,0.47,0.355,0.12,0.1765,0.1125,negative
M,0.515,0.37,0.115,0.3415,0.155,negative
F,0.55,0.415,0.18,0.502,0.301,negative
M,0.43,0.31,0.13,0.2735,0.163,negative
M,0.495,0.375,0.155,0.45,0.2285,negative
M,0.615,0.475,0.15,0.476,0.2325,negative
F,0.635,0.505,0.17,0.512,0.322,negative
M,0.625,0.47,0.15,0.556,0.2315,negative
I,0.525,0.4,0.14,0.2605,0.108,negative
F,0.65,0.525,0.165,0.647,0.2485,negative
I,0.515,0.39,0.12,0.235,0.135,negative
M,0.53,0.425,0.155,0.307,0.171,negative
M,0.53,0.425,0.13,0.2975,0.1395,negative
I,0.535,0.45,0.135,0.2845,0.1845,negative
F,0.56,0.43,0.145,0.3895,0.2325,negative
M,0.56,0.465,0.145,0.3345,0.22,negative
I,0.565,0.43,0.125,0.2815,0.139,negative
M,0.575,0.465,0.12,0.516,0.2185,negative
F,0.575,0.46,0.15,0.333,0.207,negative
I,0.58,0.42,0.14,0.3285,0.102,negative
I,0.59,0.45,0.125,0.437,0.1515,negative
M,0.585,0.47,0.145,0.4025,0.2365,negative
M,0.625,0.495,0.155,0.5055,0.278,negative
M,0.425,0.305,0.11,0.173,0.0875,negative
M,0.565,0.445,0.14,0.406,0.1605,negative
M,0.555,0.445,0.13,0.4225,0.155,negative
F,0.605,0.48,0.175,0.4815,0.2305,negative
F,0.615,0.455,0.135,0.4735,0.263,negative
M,0.41,0.325,0.1,0.146,0.072,negative
F,0.615,0.475,0.145,0.3915,0.195,negative
F,0.53,0.41,0.145,0.375,0.204,negative
M,0.445,0.37,0.125,0.2495,0.087,negative
F,0.57,0.465,0.155,0.446,0.261,negative
I,0.335,0.255,0.085,0.071,0.0405,negative
F,0.57,0.44,0.19,0.447,0.207,negative
F,0.655,0.5,0.18,0.508,0.314,positive
F,0.49,0.385,0.16,0.2455,0.171,negative
F,0.515,0.4,0.115,0.191,0.1445,negative
M,0.295,0.225,0.09,0.048,0.046,negative
I,0.29,0.225,0.075,0.071,0.059,negative
F,0.56,0.44,0.155,0.4315,0.263,negative
I,0.49,0.385,0.12,0.271,0.1125,negative
I,0.435,0.355,0.125,0.1535,0.074,negative
I,0.455,0.365,0.135,0.1515,0.1165,negative
F,0.645,0.49,0.19,0.479,0.3565,positive
F,0.61,0.5,0.18,0.5185,0.3735,negative
M,0.685,0.51,0.18,0.6315,0.3105,negative
F,0.555,0.43,0.14,0.3525,0.1835,negative
M,0.585,0.465,0.15,0.4315,0.2545,negative
M,0.61,0.475,0.15,0.62,0.237,negative
M,0.615,0.53,0.17,0.5775,0.2095,negative
F,0.64,0.525,0.175,0.646,0.3115,negative
M,0.59,0.45,0.16,0.445,0.214,negative
M,0.625,0.495,0.155,0.46,0.1945,negative
M,0.625,0.495,0.175,0.5805,0.317,negative
M,0.63,0.49,0.15,0.5845,0.257,negative
F,0.64,0.49,0.18,0.653,0.347,negative
I,0.55,0.435,0.125,0.348,0.1585,negative
I,0.515,0.395,0.125,0.2365,0.1075,negative
I,0.565,0.465,0.15,0.581,0.2215,negative
M,0.61,0.365,0.155,0.488,0.249,negative
F,0.65,0.495,0.16,0.577,0.3315,negative
M,0.635,0.5,0.18,0.594,0.2695,negative
F,0.645,0.5,0.15,0.4675,0.3355,negative
F,0.715,0.565,0.18,0.844,0.3535,negative
M,0.51,0.41,0.155,0.569,0.291,negative
F,0.56,0.42,0.18,0.7755,0.35,negative
F,0.57,0.45,0.15,0.531,0.189,negative
M,0.625,0.48,0.16,0.6575,0.2625,negative
F,0.64,0.505,0.175,0.6185,0.302,negative
M,0.67,0.525,0.18,0.728,0.343,negative
F,0.675,0.52,0.175,0.7365,0.3055,negative
M,0.6,0.47,0.13,0.423,0.219,negative
M,0.65,0.525,0.185,0.586,0.278,negative
I,0.54,0.415,0.135,0.3195,0.174,negative
I,0.455,0.35,0.13,0.215,0.0745,negative
F,0.595,0.455,0.14,0.3895,0.2225,negative
F,0.615,0.495,0.155,0.52,0.19,negative
F,0.56,0.44,0.135,0.35,0.1615,negative
M,0.5,0.38,0.125,0.269,0.1265,negative
M,0.6,0.475,0.205,0.5255,0.2875,negative
