Day_Mins,Day_Charge,CustServ_Calls,Class
265.1,45.07,1,negative
161.6,27.47,1,negative
243.4,41.38,0,negative
299.4,50.9,2,negative
166.7,28.34,3,negative
223.4,37.98,0,negative
218.2,37.09,3,negative
157,26.69,0,negative
184.5,31.37,1,negative
258.6,43.96,0,negative
129.1,21.95,4,positive
187.7,31.91,0,negative
128.8,21.9,1,negative
156.6,26.62,3,negative
120.7,20.52,4,negative
332.9,56.59,4,positive
196.4,33.39,1,negative
190.7,32.42,3,negative
189.7,32.25,1,negative
224.4,38.15,1,negative
155.1,26.37,0,negative
62.4,10.61,5,positive
183,31.11,0,negative
110.4,18.77,2,negative
81.1,13.79,0,negative
124.3,21.13,3,negative
213,36.21,0,negative
134.3,22.83,3,negative
190,32.3,0,negative
119.3,20.28,1,negative
84.8,14.42,2,negative
226.1,38.44,1,negative
212,36.04,3,negative
249.6,42.43,1,positive
176.8,30.06,0,negative
220,37.4,3,negative
146.3,24.87,0,negative
130.8,22.24,1,negative
203.9,34.66,3,negative
140.4,23.87,1,negative
126.3,21.47,3,negative
173.1,29.43,0,positive
124.8,21.22,2,negative
85.8,14.59,3,negative
154,26.18,1,negative
120.9,20.55,2,negative
211.3,35.92,3,negative
187,31.79,2,negative
159.1,27.05,5,positive
133.2,22.64,1,negative
191.9,32.62,3,negative
220.6,37.5,1,negative
186.1,31.64,2,negative
160.2,27.23,2,negative
151,25.67,5,positive
175.5,29.84,1,negative
126.9,21.57,1,negative
198.4,33.73,3,positive
148.8,25.3,3,negative
229.3,38.98,1,negative
192.1,32.66,1,negative
268.6,45.66,2,negative
193.7,32.93,2,negative
180.7,30.72,3,negative
131.2,22.3,2,negative
148.1,25.18,2,negative
251.5,42.76,0,negative
125.2,21.28,0,negative
211.6,35.97,1,negative
178.9,30.41,4,positive
241.8,41.11,3,negative
224.9,38.23,0,negative
248.6,42.26,3,negative
203.4,34.58,1,negative
235.8,40.09,0,negative
157.1,26.71,1,negative
300.3,51.05,0,positive
61.6,10.47,4,positive
214.1,36.4,2,negative
170.2,28.93,1,negative
201.1,34.19,1,negative
215.4,36.62,3,negative
165.6,28.15,3,negative
249.5,42.42,1,negative
210.6,35.8,2,positive
179.3,30.48,0,negative
157.9,26.84,4,positive
214.3,36.43,1,negative
154.1,26.2,2,negative
237.9,40.44,1,positive
143.9,24.46,1,negative
203.4,34.58,0,positive
124.3,21.13,1,negative
252.9,42.99,3,negative
179.1,30.45,3,negative
278.4,47.33,1,negative
160.1,27.22,0,negative
198.2,33.69,4,negative
212.1,36.06,1,positive
251.8,42.81,2,positive
161.2,27.4,4,negative
178.3,30.31,0,negative
151.7,25.79,0,negative
135,22.95,1,negative
170.5,28.99,1,negative
238.1,40.48,4,negative
281.4,47.84,2,negative
117.9,20.04,1,negative
148.6,25.26,1,negative
229.8,39.07,3,negative
165,28.05,1,negative
185,31.45,2,negative
161,27.37,4,negative
126.7,21.54,1,negative
58.9,10.01,1,negative
196.8,33.46,0,positive
162.6,27.64,1,negative
282.5,48.03,1,positive
113.7,19.33,2,negative
239.8,40.77,2,negative
210.2,35.73,1,negative
213.8,36.35,0,negative
190.7,32.42,3,negative
170.9,29.05,1,negative
154.2,26.21,2,negative
201.4,34.24,1,negative
70.7,12.02,4,positive
187.5,31.88,4,positive
91.7,15.59,2,negative
214.2,36.41,3,negative
145.5,24.74,3,negative
166.3,28.27,1,negative
231,39.27,1,negative
200.3,34.05,4,negative
197,33.49,1,negative
129.9,22.08,3,negative
175.8,29.89,5,negative
203.1,34.53,3,negative
183.2,31.14,1,negative
205,34.85,2,negative
148.5,25.25,1,negative
200.3,34.05,0,negative
192.6,32.74,3,negative
246.5,41.91,1,negative
167.1,28.41,2,positive
231.9,39.42,3,negative
146.7,24.94,1,negative
271.5,46.16,1,negative
181.5,30.86,1,negative
257.7,43.81,2,negative
193.8,32.95,1,negative
102.8,17.48,1,negative
187.9,31.94,1,negative
226,38.42,1,negative
260.4,44.27,5,negative
178.7,30.38,0,negative
337.4,57.36,0,positive
157.6,26.79,0,negative
183.6,31.21,1,negative
142.1,24.16,1,negative
136.3,23.17,0,negative
217.1,36.91,0,negative
187.5,31.88,3,negative
98.9,16.81,1,negative
206.3,35.07,1,negative
243.1,41.33,2,negative
189.8,32.27,1,negative
202,34.34,1,negative
170.1,28.92,1,negative
230.9,39.25,0,negative
237.1,40.31,1,negative
182.1,30.96,2,negative
119.3,20.28,3,negative
116.8,19.86,1,negative
219.2,37.26,0,negative
252.6,42.94,2,negative
147.1,25.01,0,negative
202.1,34.36,2,negative
173.5,29.5,3,negative
232.1,39.46,3,negative
197.1,33.51,4,negative
58.2,9.89,5,positive
115.6,19.65,2,negative
186.1,31.64,2,negative
259.9,44.18,3,negative
214.3,36.43,1,negative
158.7,26.98,1,negative
271.6,46.17,2,negative
160.6,27.3,1,negative
232.4,39.51,1,negative
133.8,22.75,0,negative
176.9,30.07,1,negative
209.9,35.68,2,negative
137.5,23.38,0,negative
289.5,49.22,1,negative
198.1,33.68,1,negative
149.7,25.45,0,negative
326.5,55.51,2,positive
292.9,49.79,4,positive
83,14.11,0,negative
145.7,24.77,3,negative
182.3,30.99,2,negative
218,37.06,3,negative
140.6,23.9,2,negative
152.7,25.96,1,negative
106.7,18.14,1,negative
243.8,41.45,2,negative
194.4,33.05,3,negative
213.9,36.36,3,negative
217.2,36.92,3,negative
241.1,40.99,1,negative
203.5,34.6,0,negative
155.2,26.38,1,negative
167.6,28.49,1,negative
226.7,38.54,2,positive
179.3,30.48,3,negative
151.4,25.74,0,negative
180,30.6,3,negative
250.2,42.53,1,positive
223,37.91,0,negative
183.6,31.21,3,negative
166,28.22,1,negative
136.1,23.14,1,negative
149.3,25.38,2,negative
65.4,11.12,2,negative
213.4,36.28,1,negative
206.9,35.17,3,negative
186.2,31.65,2,negative
280.2,47.63,4,negative
196.6,33.42,0,negative
312,53.04,0,positive
199,33.83,1,negative
203.1,34.53,3,negative
168.8,28.7,0,negative
173.1,29.43,1,negative
134.4,22.85,5,positive
202.6,34.44,2,negative
74.5,12.67,3,negative
83.6,14.21,0,negative
192.2,32.67,1,negative
220.2,37.43,0,negative
135.1,22.97,2,positive
253.4,43.08,1,negative
225,38.25,3,negative
198.5,33.75,0,positive
110.3,18.75,0,negative
60,10.2,0,negative
214.8,36.52,0,negative
181.8,30.91,4,negative
154,26.18,2,negative
157.4,26.76,4,positive
207.9,35.34,4,negative
207,35.19,3,negative
119,20.23,0,negative
143.7,24.43,0,negative
165.9,28.2,4,negative
138.6,23.56,1,negative
84.7,14.4,1,negative
62.6,10.64,1,positive
155.2,26.38,1,negative
164.9,28.03,1,negative
134.5,22.87,1,negative
143.3,24.36,1,negative
168.3,28.61,1,negative
262.4,44.61,2,negative
206.2,35.05,1,negative
225.8,38.39,4,negative
138.3,23.51,3,negative
94.4,16.05,0,negative
160,27.2,2,negative
206.6,35.12,0,negative
134.7,22.9,1,negative
214.4,36.45,3,negative
192.8,32.78,3,negative
151.1,25.69,1,negative
221.4,37.64,3,negative
218.9,37.21,0,negative
189.8,32.27,2,positive
192.7,32.76,2,negative
204.4,34.75,3,negative
172.3,29.29,2,negative
198.4,33.73,2,negative
211.7,35.99,1,negative
221.6,37.67,1,negative
197.9,33.64,3,negative
147.5,25.08,2,negative
206.4,35.09,2,negative
205.9,35,2,negative
207.6,35.29,0,negative
303.9,51.66,1,positive
230.6,39.2,0,negative
99.5,16.92,0,negative
177.1,30.11,1,negative
172.7,29.36,5,positive
172.7,29.36,1,negative
204.2,34.71,1,negative
85.7,14.57,2,negative
157.6,26.79,0,negative
215.5,36.64,4,negative
181.5,30.86,1,negative
171.7,29.19,2,negative
266.6,45.32,1,positive
170.4,28.97,0,positive
158,26.86,1,negative
92,15.64,1,negative
234,39.78,2,negative
272.1,46.26,1,positive
296.4,50.39,4,positive
194.4,33.05,0,negative
227.2,38.62,3,negative
248.7,42.28,1,positive
236.3,40.17,1,negative
205.6,34.95,0,negative
94.1,16,0,negative
125.2,21.28,0,negative
60.4,10.27,1,negative
121,20.57,2,negative
117.8,20.03,3,negative
232.4,39.51,3,negative
223.5,38,2,positive
176.3,29.97,0,negative
125.2,21.28,1,negative
138.7,23.58,0,negative
86.3,14.67,1,negative
207,35.19,3,negative
58.8,10,0,negative
68.7,11.68,1,negative
239.2,40.66,1,negative
198.3,33.71,0,negative
205.2,34.88,0,negative
192.1,32.66,3,negative
272.6,46.34,1,positive
128.3,21.81,7,positive
169.6,28.83,0,negative
201.3,34.22,1,negative
214.7,36.5,1,negative
169.2,28.76,0,negative
194.1,33,2,negative
233.8,39.75,2,negative
225.1,38.27,0,negative
213,36.21,1,positive
183.9,31.26,1,negative
221.8,37.71,0,negative
64.6,10.98,2,negative
154.6,26.28,1,negative
260.2,44.23,3,negative
161.6,27.47,1,negative
220.6,37.5,1,negative
155.9,26.5,3,negative
107,18.19,4,positive
182.5,31.03,4,negative
220.1,37.42,4,negative
152.2,25.87,1,negative
181.5,30.86,2,negative
236.2,40.15,2,positive
166.1,28.24,1,negative
244.6,41.58,1,negative
134.2,22.81,2,negative
149.7,25.45,1,negative
150.1,25.52,1,negative
257.1,43.71,1,positive
124.4,21.15,0,negative
141.7,24.09,1,negative
230,39.1,2,negative
162.3,27.59,0,negative
350.8,59.64,1,positive
193.3,32.86,4,negative
78.2,13.29,1,negative
83.4,14.18,1,negative
195.6,33.25,0,negative
201.8,34.31,1,negative
197,33.49,2,negative
218,37.06,0,positive
164.8,28.02,2,negative
179.2,30.46,2,negative
214,36.38,0,negative
170.5,28.99,2,negative
205.7,34.97,1,negative
165.5,28.14,1,positive
221,37.57,2,negative
242.1,41.16,3,negative
151.6,25.77,1,negative
176.2,29.95,0,negative
196,33.32,1,negative
159.5,27.12,2,negative
230.2,39.13,4,negative
146.7,24.94,3,negative
210.5,35.79,1,negative
102,17.34,1,negative
126,21.42,3,negative
168.4,28.63,1,negative
105.6,17.95,0,negative
206.5,35.11,5,negative
217.1,36.91,2,negative
229.6,39.03,0,positive
278.3,47.31,0,negative
138.6,23.56,0,negative
234.4,39.85,1,positive
181.5,30.86,1,negative
167.3,28.44,1,positive
121,20.57,1,negative
221.1,37.59,0,negative
145.8,24.79,1,negative
222.8,37.88,1,negative
183.4,31.18,4,negative
264.3,44.93,0,negative
146,24.82,0,negative
157.1,26.71,4,positive
127.3,21.64,1,negative
187.9,31.94,2,negative
178.8,30.4,2,negative
97.2,16.52,2,negative
259.8,44.17,0,negative
256.5,43.61,3,negative
169.5,28.82,0,negative
239.7,40.75,2,positive
171.5,29.16,1,positive
239.9,40.78,0,negative
142.3,24.19,1,negative
184.1,31.3,2,negative
206.9,35.17,2,negative
259.9,44.18,1,negative
203.8,34.65,0,negative
248.8,42.3,3,negative
221.6,37.67,1,negative
192.9,32.79,1,negative
122.4,20.81,1,negative
104.9,17.83,1,negative
173.2,29.44,3,negative
119.4,20.3,2,negative
250.3,42.55,2,positive
178.3,30.31,1,negative
243.4,41.38,1,negative
155,26.35,2,negative
288.7,49.08,0,negative
240.4,40.87,1,negative
190.3,32.35,1,negative
278,47.26,0,positive
155,26.35,1,negative
153.5,26.1,2,negative
273.4,46.48,1,negative
155.3,26.4,0,negative
133.1,22.63,1,negative
246.8,41.96,1,negative
165.4,28.12,2,negative
59.5,10.12,0,negative
138.3,23.51,3,negative
286.7,48.74,2,negative
117.3,19.94,1,negative
264.3,44.93,4,negative
127.9,21.74,0,negative
225.5,38.34,0,negative
149,25.33,0,negative
198.9,33.81,1,negative
256.4,43.59,1,positive
264.8,45.02,1,positive
98.2,16.69,2,negative
159.8,27.17,2,negative
190.6,32.4,3,negative
184,31.28,0,negative
261.8,44.51,1,negative
147.9,25.14,3,negative
106.4,18.09,1,negative
133.7,22.73,0,negative
193.5,32.9,0,negative
178.2,30.29,3,positive
226.2,38.45,3,positive
170.4,28.97,1,negative
70.9,12.05,3,negative
194.4,33.05,2,negative
240.3,40.85,1,negative
75,12.75,3,negative
69.1,11.75,1,negative
96.6,16.42,4,positive
214.6,36.48,0,negative
148.5,25.25,3,negative
258.1,43.88,1,negative
149.7,25.45,3,negative
149.8,25.47,1,negative
190.4,32.37,2,negative
181.4,30.84,1,negative
151.1,25.69,1,negative
155.7,26.47,0,negative
149.9,25.48,2,negative
222.3,37.79,3,negative
149.4,25.4,0,negative
233.8,39.75,0,negative
204.2,34.71,0,negative
242.9,41.29,1,negative
150.4,25.57,1,negative
208.9,35.51,0,negative
191.9,32.62,1,positive
130.7,22.22,2,positive
119.6,20.33,2,negative
273.6,46.51,1,negative
156.1,26.54,2,negative
178.7,30.38,2,negative
177.5,30.18,2,negative
211.3,35.92,4,positive
175.2,29.78,1,negative
114.3,19.43,3,negative
251.4,42.74,1,negative
216.9,36.87,1,positive
217.2,36.92,0,negative
206.3,35.07,0,negative
159.3,27.08,1,negative
143.1,24.33,2,negative
154,26.18,3,positive
186.6,31.72,1,negative
170.8,29.04,5,positive
124,21.08,1,negative
198.3,33.71,3,negative
172.8,29.38,2,negative
217.4,36.96,0,negative
265.9,45.2,0,positive
93.6,15.91,1,negative
98.2,16.69,2,negative
214.7,36.5,2,negative
168.2,28.59,1,negative
202.9,34.49,3,negative
261.4,44.44,1,negative
73.3,12.46,4,positive
253.7,43.13,7,negative
45,7.65,2,negative
231.3,39.32,1,negative
47.4,8.06,2,negative
227.4,38.66,0,negative
40.9,6.95,0,negative
124.8,21.22,2,negative
68.5,11.65,0,negative
163.5,27.8,2,negative
163,27.71,2,negative
213.7,36.33,2,negative
201.3,34.22,1,negative
310.4,52.77,4,negative
48.4,8.23,1,negative
171.2,29.1,1,negative
166.5,28.31,0,negative
216.6,36.82,0,negative
107.8,18.33,2,negative
141.3,24.02,1,negative
209.9,35.68,0,negative
237.5,40.38,9,positive
234.5,39.87,3,negative
103.1,17.53,3,negative
129.5,22.02,1,negative
279.8,47.57,2,positive
136.8,23.26,5,positive
100.1,17.02,0,negative
237.1,40.31,4,negative
172.8,29.38,4,positive
224.5,38.17,2,negative
288.1,48.98,3,positive
78.2,13.29,2,negative
148.7,25.28,2,negative
194.6,33.08,2,negative
159.5,27.12,0,negative
194.5,33.07,1,negative
174.1,29.6,2,positive
131.8,22.41,2,negative
160.6,27.3,1,negative
146.8,24.96,0,negative
200.7,34.12,1,negative
145.6,24.75,1,negative
229.4,39,2,negative
211,35.87,3,negative
121.5,20.66,2,negative
216,36.72,2,negative
293,49.81,2,negative
221.1,37.59,2,positive
181.5,30.86,1,negative
74.3,12.63,2,negative
62.3,10.59,1,negative
228.6,38.86,3,negative
228.1,38.78,2,positive
309.9,52.68,1,negative
201.9,34.32,3,negative
149.8,25.47,2,negative
183.8,31.25,1,negative
186.7,31.74,1,negative
209.4,35.6,1,positive
223.2,37.94,3,negative
164.2,27.91,1,negative
150.5,25.59,1,negative
234.2,39.81,0,positive
55.3,9.4,1,negative
221.8,37.71,1,negative
169.6,28.83,1,negative
89.7,15.25,5,positive
80.2,13.63,1,negative
218.9,37.21,2,negative
125.7,21.37,1,negative
176.3,29.97,2,negative
207.2,35.22,2,negative
205.7,34.97,2,negative
151.4,25.74,1,negative
157.5,26.78,3,negative
160.4,27.27,2,negative
159,27.03,1,negative
214.1,36.4,0,negative
102.6,17.44,2,negative
159.7,27.15,0,positive
202.8,34.48,1,negative
57.5,9.78,3,negative
169.9,28.88,1,negative
335.5,57.04,2,positive
139.5,23.72,0,negative
142.3,24.19,1,negative
187.8,31.93,0,negative
146.2,24.85,3,negative
231.8,39.41,3,negative
193.7,32.93,1,negative
156.4,26.59,4,negative
220.7,37.52,1,positive
239.8,40.77,2,negative
172,29.24,1,negative
128.2,21.79,2,negative
130.2,22.13,3,negative
195.4,33.22,1,negative
293.3,49.86,0,positive
191.3,32.52,1,negative
122.4,20.81,1,negative
209.6,35.63,2,negative
215.7,36.67,3,negative
161.4,27.44,0,negative
144.2,24.51,3,negative
220.2,37.43,0,positive
256.2,43.55,4,negative
112.7,19.16,1,negative
299.5,50.92,0,positive
194.8,33.12,0,negative
100.8,17.14,0,negative
82.5,14.03,3,negative
146.4,24.89,2,negative
177.9,30.24,2,negative
153.5,26.1,5,negative
150.7,25.62,1,negative
180.1,30.62,0,negative
265.3,45.1,1,negative
128.6,21.86,0,negative
161.5,27.46,2,negative
165.3,28.1,1,negative
195,33.15,0,negative
213.8,36.35,0,negative
205.5,34.94,1,negative
252.9,42.99,3,negative
235.6,40.05,0,negative
192,32.64,1,negative
69.1,11.75,0,negative
261.7,44.49,3,positive
235.5,40.04,2,negative
213.4,36.28,1,negative
206.9,35.17,3,negative
263.8,44.85,3,negative
183.4,31.18,1,negative
157.6,26.79,5,positive
175.6,29.85,0,negative
242.5,41.23,2,negative
151,25.67,0,negative
138.1,23.48,1,negative
264.7,45,1,positive
282.3,47.99,1,negative
211.2,35.9,0,negative
197.1,33.51,3,negative
205.3,34.9,1,negative
181.8,30.91,2,negative
252,42.84,2,negative
193.8,32.95,0,negative
231.2,39.3,1,negative
200.1,34.02,0,negative
266.7,45.34,1,negative
118.1,20.08,2,negative
175.3,29.8,0,negative
125.1,21.27,3,negative
176.8,30.06,1,negative
241.9,41.12,1,negative
241.2,41,0,negative
217.1,36.91,1,negative
195.4,33.22,0,negative
222.4,37.81,1,positive
189.5,32.22,1,negative
123.1,20.93,0,negative
256.7,43.64,3,negative
159.1,27.05,1,negative
100.1,17.02,3,negative
30.9,5.25,1,negative
223.2,37.94,3,negative
187.4,31.86,1,negative
315.6,53.65,3,negative
277.5,47.18,1,negative
189.8,32.27,2,negative
147.2,25.02,1,negative
185.8,31.59,4,negative
155.4,26.42,3,negative
154.2,26.21,6,negative
97.6,16.59,1,negative
178.8,30.4,1,negative
149.3,25.38,0,negative
206,35.02,0,negative
216.8,36.86,0,negative
103.3,17.56,0,negative
139.4,23.7,0,negative
191.2,32.5,1,negative
160,27.2,1,negative
221.7,37.69,3,negative
62.9,10.69,1,negative
215.6,36.65,1,negative
165.3,28.1,3,negative
94.7,16.1,2,negative
203.2,34.54,2,negative
195.3,33.2,3,negative
143.7,24.43,4,negative
114.4,19.45,2,negative
222.8,37.88,2,negative
175.9,29.9,2,negative
249.9,42.48,1,positive
234.5,39.87,2,negative
210.7,35.82,1,negative
182.3,30.99,1,negative
190.3,32.35,2,negative
177.1,30.11,0,negative
87.2,14.82,6,positive
215.6,36.65,1,negative
137.4,23.36,3,negative
192.8,32.78,1,negative
149.3,25.38,2,negative
143.7,24.43,1,negative
224.8,38.22,1,negative
261.2,44.4,2,negative
196.5,33.41,0,negative
271.2,46.1,3,positive
207.2,35.22,2,negative
300.4,51.07,2,negative
229.6,39.03,2,negative
187.5,31.88,1,negative
57.1,9.71,3,negative
162.1,27.56,5,positive
145,24.65,2,positive
159.5,27.12,1,negative
190.7,32.42,1,negative
230.6,39.2,1,negative
34,5.78,0,negative
193.4,32.88,5,negative
202,34.34,1,negative
191.7,32.59,1,negative
161.3,27.42,1,negative
150.6,25.6,1,negative
184.6,31.38,1,negative
220.7,37.52,1,negative
167.3,28.44,1,negative
154,26.18,3,negative
121.1,20.59,0,negative
182.1,30.96,3,negative
109.6,18.63,2,negative
209.9,35.68,1,negative
167.5,28.48,2,negative
213.9,36.36,2,negative
115.8,19.69,1,negative
276.6,47.02,2,negative
179.4,30.5,2,negative
187.3,31.84,1,negative
201.2,34.2,2,negative
189.6,32.23,1,negative
186.8,31.76,0,negative
153.5,26.1,0,negative
187.6,31.89,2,negative
230.9,39.25,0,positive
244.9,41.63,2,negative
230.9,39.25,3,negative
187.1,31.81,1,negative
170.7,29.02,1,negative
126.9,21.57,5,positive
189.5,32.22,0,negative
176.9,30.07,1,positive
161.1,27.39,1,negative
169.4,28.8,1,negative
254.4,43.25,0,negative
127.7,21.71,2,negative
170.5,28.99,6,negative
219.1,37.25,2,negative
273.5,46.5,2,negative
161.9,27.52,1,negative
241.7,41.09,1,negative
62.8,10.68,3,negative
281.1,47.79,1,negative
228.2,38.79,3,negative
209.8,35.67,0,negative
265.6,45.15,2,positive
214.9,36.53,2,negative
110.5,18.79,3,negative
281.1,47.79,0,negative
137.8,23.43,2,negative
271.5,46.16,1,positive
112.8,19.18,2,negative
187.3,31.84,1,negative
197,33.49,1,negative
180.4,30.67,1,negative
148.5,25.25,1,positive
197.1,33.51,2,negative
153.7,26.13,1,negative
261.3,44.42,1,negative
246.2,41.85,1,negative
191,32.47,0,negative
208.3,35.41,1,negative
253,43.01,0,negative
202.3,34.39,0,negative
174.4,29.65,0,negative
127.1,21.61,1,negative
143.5,24.4,0,negative
186.9,31.77,1,negative
194,32.98,1,negative
234.8,39.92,0,negative
123.7,21.03,1,negative
173.9,29.56,0,negative
130.9,22.25,1,negative
314.6,53.48,2,positive
227.9,38.74,1,negative
95.5,16.24,2,negative
185.3,31.5,1,negative
146.3,24.87,1,negative
184,31.28,2,negative
105.8,17.99,0,negative
178,30.26,1,negative
149.4,25.4,1,negative
209.4,35.6,2,negative
172.1,29.26,1,negative
169.3,28.78,1,negative
119.1,20.25,0,negative
194.2,33.01,2,negative
198.8,33.8,2,negative
167.7,28.51,3,positive
