Attr01,Attr02,Attr03,Attr06,Attr08,Attr09,Attr12,Atrr13,Atrr14,Atrr16,Attr19,Class
0.33,0.16,0.5,0.25,0.33,0.33,0.67,0.16,1,0.33,1,positive
0,0.65,0.5,0,1,0.67,1,0.41,0,0,0,positive
0.67,0.25,1,0,0.33,0,0.67,0.25,1,0,0,positive
0.33,0.12,0.5,0,0,1,0,0.07,1,0,0,positive
1,0.29,0.5,1,1,0.67,0.67,0.11,1,0.33,0,negative
0,0.38,0.5,1,1,0.67,0.33,0.21,1,0,0,positive
0.67,0.21,0.5,0,0,0.33,0.33,0.46,0.5,0,0,negative
1,0.12,1,0,1,0.67,0,0.75,1,0.33,0,negative
0,0.29,0.75,0,1,0.67,0,0.43,1,0.33,0,positive
0.33,0.21,1,0,0.67,0.33,0.33,0.32,1,0,1,negative
1,0.29,0.5,0,0.67,0.67,0.67,0.23,0,0,0,negative
0,0.12,0.25,0,1,0.33,0,0.09,0,0,0,positive
1,0.65,1,1,0.33,0.67,1,0.29,1,0.33,1,negative
1,0.12,1,1,1,0.33,0,0.07,1,0.33,0,negative
0.67,0.21,0.5,0,0.33,0.67,0,0.27,1,0,0,positive
0,0.65,0.5,0,0,1,0,0.27,1,0.33,1,positive
1,0.29,0.75,0,1,0.67,1,0.73,1,0.33,1,negative
0.33,0.07,0.5,0,1,0.33,0.33,0.86,1,0.33,1,negative
0.33,0.12,0.5,0,0.33,0.67,0.67,0.05,0.5,0,0,positive
0.33,0.21,0,0.25,0.67,0.33,0.67,0.16,1,0.33,0,positive
1,0.25,0,1,0,0.33,0.33,0.18,0,0.33,1,positive
1,0.03,0.25,0.5,0.33,0.67,0.33,0.46,0,0,0,negative
0,0.29,0.25,0,0.67,0.67,0.67,0.14,0,0,0,positive
0.33,0.21,1,0,0.33,0.67,0,0.21,1,0.33,0,positive
1,0.29,1,0,1,0.33,0.67,0.32,1,0,1,negative
0.33,0.12,1,0.25,1,0.67,0.67,0.14,1,0,0,negative
0.33,0.47,0.5,1,0,0.67,1,0.32,1,0,1,positive
0.67,0.03,0.75,0,0.33,0.33,0.33,0.18,0,0,0,negative
0,0.29,0.5,1,1,0.67,1,0.54,0,0,1,negative
0,0.29,0.25,0,1,0.67,0.67,0.09,0,0,0,positive
0.33,0.29,0.75,1,1,0.67,0.33,0.32,0,0.33,1,negative
0.33,0.29,0.75,0.25,0.67,0.33,0.33,0.07,1,0.33,1,negative
0,0.12,0.5,0,0.33,0,0.67,0.3,1,0,0,positive
1,0.29,1,0.75,0.33,0.67,0.67,0.27,1,0,0,negative
0.33,0.65,0.5,1,1,0.67,0.67,0.39,1,0.33,1,negative
0,0.65,0.5,0,0.67,0.33,0.67,0.21,1,0,1,positive
0,0.29,0.5,0,1,0.33,0,0.07,1,0,1,positive
1,0.38,1,0,0.67,0.67,0.67,0.34,1,0,0,negative
1,0.29,0.5,1,0.33,0.33,0.33,0.13,1,0,1,negative
0,0.16,0.5,0,1,0.33,0.33,0.05,1,0,0,negative
0.33,0.07,0.5,0,1,0.67,0.67,0.14,1,0.33,0,negative
1,0.16,1,0,0.33,0.33,0.67,0.09,0,0.33,0,negative
0.33,0.12,0.5,0,0.33,0.33,0,0.14,1,0,0,negative
1,0.29,1,1,0.67,0.33,0.67,0.25,1,0.33,1,negative
0.33,0.47,1,0,1,0,0.67,0.14,1,0.33,0,positive
1,0.29,0.5,0,1,1,0.67,0.14,1,0.33,0,negative
0.33,0.21,1,0,0.67,0.67,0,0.2,0,0.33,0,positive
1,0.07,0.5,0,1,0.33,0,0.13,1,0,0,negative
0.33,0.12,1,0,0,0.67,0,0.54,0,0.33,0,negative
0.33,0.47,0.5,0,1,0.67,1,0.25,1,0,0,positive
1,0.12,0.5,1,1,0.33,1,0.59,1,0,1,negative
0,0.21,0.5,0,0,0.33,0,0.02,0,0,0,positive
0,0.07,1,0,0.33,0.67,0,0.3,1,0.33,0,negative
0,0.12,0.5,0,1,0.67,0.33,0.04,1,0,0,negative
0,0.21,0.5,0,1,1,0,0.5,1,0,1,positive
0,0.12,1,0,0.67,0.67,0.33,0.73,1,0.33,0,positive
0,0.12,1,0,1,0.33,0,0.7,1,1,1,negative
0.33,0.29,0.75,1,1,0.33,0.67,0.41,1,0.33,1,negative
1,0.25,0.5,0.75,1,0.33,0,0.3,0,0,0,negative
0.33,0.29,0.5,0,0.67,0.33,0.33,0.02,1,0,1,positive
0.33,0.03,0.25,0.25,0,0.33,0.33,0.23,0.5,0,0,positive
0,0.29,0.25,1,1,0.67,0.67,0.38,0.5,0,1,positive
0,0.29,0.5,0,1,0.33,0.67,0.07,1,0.33,0,positive
0.33,0.29,0,0,0,0.67,0,0.3,1,0.67,1,positive
1,0.21,1,0,0.33,0.67,0.33,0.21,0,0.33,0,positive
1,0.29,0.75,0,0,0.67,1,0.23,1,0,0,negative
0.33,0.04,0.5,0,0,0.33,0,0.46,1,0,0,negative
0.33,0.07,0.5,0,1,0.33,0.33,0.2,1,0,0,positive
0.33,0.29,0.25,0,1,0.33,1,0.27,0,0,0,positive
1,0.47,0.5,0,1,0.33,0.67,0.16,1,0,1,positive
0.67,0.09,0.5,0,1,0.33,0.33,0.07,1,0,0,negative
0,0.29,0.25,0.5,1,0.67,0,0.05,0.5,0,1,negative
1,0.29,1,0,0.67,0.67,0,0.98,1,0,1,negative
0.33,0.47,0.5,0.25,1,0.33,1,0.55,1,0,0,positive
1,0.21,0.5,0,1,0.67,0,0.25,1,0,0,negative
1,0.16,0.5,1,1,0.67,1,0.46,0,0,0,negative
0.67,0.09,0.5,0.25,0,0.33,1,0.52,1,0,0,positive
0,0.12,0.5,0.25,1,0.33,0.33,0.05,1,0,0,positive
0,0.25,0.5,0.75,1,0.33,0.67,0.18,0,0,0,negative
0,0.29,0.25,0,0,0.33,0.67,0.05,0,0,0,negative
0.33,0.65,0,1,0.33,0.67,0.67,0.52,0,0,1,negative
1,0.21,0.75,0,1,0.33,0,0.05,1,0,0,positive
0.33,0.82,0.75,1,0.33,0.67,1,0.14,1,0,0,negative
0,0.03,1,0,0,0.67,0,0.32,1,0.67,0,negative
0.33,0.38,0.5,0.25,0.33,0.33,0.67,0.04,1,0,0,positive
1,0.12,0.5,0,1,0,0,0.54,1,0,0,negative
0.33,0.25,1,0,0.33,0.67,0.33,0.14,1,0.33,0,negative
1,0.21,1,0,0.67,0.67,0.33,0.23,0,0.33,0,positive
1,0.65,0.5,1,1,0,0,0.34,0,0,0,positive
0,0.12,0.5,0,1,0.33,0.67,0.05,1,0,0,negative
1,0.16,0.5,1,1,0.67,0.67,0.29,1,0,0,negative
0,0.21,0.5,0,1,0.67,1,0.82,1,0.33,0,positive
0.67,0.03,0.5,0,0.33,0.67,0,0.39,1,0,1,negative
0.33,0.07,0.25,0.25,0.33,0.67,1,0.18,1,0,0,positive
1,0.56,1,0.5,1,0.67,0,0.3,1,0.33,1,negative
1,0.07,0.5,1,0,0.67,0,0.8,1,0,0,negative
0,0.29,0.5,0,0.33,0.33,0.67,0.16,1,0,0,negative
0,0.21,0.25,0,1,0.67,0.67,0.45,0,0,0,positive
0.33,0.16,0.5,1,1,0.67,0.33,0.07,1,0,0,negative
1,0.07,0.5,0,0.33,0.33,0.67,0,1,0.33,0,positive
0.33,0.29,0.5,0,0.67,0.33,0.67,0.11,1,0,1,positive
1,0.12,0.5,0,1,0.67,0.33,0.5,0,0.67,1,negative
1,0.29,0.5,0.5,1,0.33,0.67,0.16,1,0,0,negative
1,0.82,0.75,0,0.33,0.67,0.67,0.04,1,0.33,1,negative
1,0.12,0.5,0,1,0.33,0.67,0.27,1,0,0,negative
0,0.56,0.75,0,0.67,0.67,0.33,0.13,0,0.33,1,positive
0,0.21,0.5,0,1,0.33,0,0.14,1,0,0,positive
0.33,0.16,0.5,0,1,0.67,0.67,0.34,1,0.33,0,negative
1,0.16,0.5,0.25,0.67,0.67,0.33,0.38,1,0,1,positive
1,0.29,1,0,1,1,0.67,0.25,1,0.33,1,negative
0,0.21,1,0,1,1,0.33,0.23,1,0.33,1,negative
1,0.47,0.75,1,1,0.67,0.67,0.14,1,0.33,1,positive
0,0.38,0,0,0.33,0,0,0.23,1,0.33,0,negative
1,0.12,0.5,0.5,0.33,0.33,0.33,0.13,1,0,0,positive
0.67,0.29,0.5,0,1,0.67,1,0.34,0,0,0,positive
0,0.12,0.5,0,1,0.67,0.67,0.38,1,0,0,positive
0,0.65,0.5,0,1,0.67,1,0.55,1,0,1,negative
0.33,0.12,0.5,0,1,0.67,0.33,0.32,1,0,0,positive
0,0.29,0.5,0,1,0.67,0,0.46,1,0,0,positive
0.33,0.47,0.75,0.25,0.33,0.67,0.67,0.41,1,1,1,positive
1,0.29,1,0,1,0.67,0.67,0.29,1,0.33,1,negative
0,0.15,0.5,0,0,0.67,1,0.05,1,0,0,negative
0.33,0.12,0.5,0,1,0.67,0.67,0.39,0,0,0,positive
1,0.65,0.5,1,1,0.67,0.67,0.32,0.5,0,1,negative
0.33,0.38,0,0,0.33,0.33,0.67,0.16,1,0.33,0,negative
0.33,0.21,1,0,0.33,0.67,1,0.39,1,0,1,negative
0.67,0.12,0.5,0,0.67,1,0,0.07,1,0,0,negative
0,0.12,0.5,1,1,1,0.67,0.07,1,0,0,positive
1,0.25,0.5,0,1,0.67,0,0.55,1,0.33,0,negative
0.33,0.03,0.75,0,1,0.67,0.33,0.29,0.5,0.33,1,negative
0.67,0.03,1,0,0.33,0.33,0.33,0.55,1,0,0,negative
1,0.29,1,0,1,0.67,1,0.14,0,0.33,1,negative
0.33,0.38,0.25,0.75,1,0.67,0.67,0.27,0.5,0,1,negative
1,0.65,0.25,0,0,0.33,0,0.14,0.5,0,0,negative
0,0.12,1,0,0.67,0.67,0.33,0.43,1,0.33,1,positive
0.67,0.38,1,0,1,0.67,0.33,0.5,1,0,0,negative
1,0.29,1,0.25,0.67,0.67,0.33,0.14,1,0.33,1,negative
1,0.47,0.5,0.25,0.33,0.67,0.67,0.21,1,0.33,1,negative
1,0.82,0.5,0,0.33,0.67,0.33,0.41,1,0,1,negative
1,0.03,1,0.5,0,1,0.67,0.09,1,0,0,negative
1,0.25,0.75,0.5,1,0.67,0,0.39,0,0,0,positive
1,0.38,1,0,1,0.33,0.67,0.13,1,0,1,negative
1,0.29,1,0,1,0.67,0.67,0.25,1,0,1,negative
0.33,1,0.5,0.25,0.33,1,0.67,0.09,1,0,0,positive
0,0.29,0.5,0,1,0.67,0,0.8,0,0,0,negative
1,0.21,0.5,0,0.67,0.33,0,0.13,1,0,0,negative
1,0.03,0.5,0,0,0.33,1,0.66,1,0,0,negative
1,0.12,0.5,1,1,0.67,1,0.32,1,0,1,negative
1,0.16,0.75,0,1,1,0,0.25,0,0.33,0,negative
1,0.29,1,0,0.67,1,1,0.5,1,0.67,1,negative
0.33,0.47,0.75,0.25,0,0.67,0.33,0.21,1,0.33,1,negative
1,0.82,0.5,1,1,0.67,1,0.27,1,0,1,negative
0.67,0.09,1,1,1,0.67,0.33,0.14,1,0.33,1,negative
0.33,0.47,0.75,0.25,1,0.67,1,0.2,1,0,0,negative
1,0.07,0.5,0.25,0.67,0.67,0.67,0.29,1,0,1,negative
0,0.12,0.5,0.75,0,0.67,0.33,0.21,1,0,0,negative
0,0.16,1,0,0.33,0,0.33,0.11,1,0.33,0,negative
0.33,0.16,0.5,0.25,0.67,0.33,0,0.11,1,0,0,negative
0.33,0.29,0.5,0.25,0.33,0.67,0.67,0.18,1,0,0,negative
0,0.03,1,1,0,0.67,0,0.45,1,0.33,0,negative
1,0.29,0.5,0,1,0.67,0.67,0.16,1,0,1,negative
1,0.03,0.5,0.5,0.33,0.67,0.33,0.55,1,0,0,negative
0.33,0.12,0.5,0,1,0.67,0,0.18,1,0.33,0,negative
1,0.12,1,0,0,0.33,0.33,0.34,1,0,0,negative
1,0.21,1,0,1,0.67,0.67,0.09,1,0.33,0,negative
0.67,0.16,0.5,0,1,0.67,0.67,0.38,1,0,1,negative
1,0.12,0.5,0.5,1,0.33,0.67,0.18,1,0,0,positive
0,0.65,1,0,1,0.67,1,0.48,1,0.33,1,positive
0.67,0.29,0.5,0.25,1,0.33,1,0.5,1,0,1,negative
0.33,0.38,0.75,0.25,1,0.67,0.33,0.39,0.5,0.33,0,negative
0.33,0.34,0.5,0,1,0.33,0.33,0.23,1,0,1,negative
1,0.16,0.5,0.5,0,0.33,1,0.29,1,0,0,negative
0.33,0.65,0.5,0.25,0.67,0.67,0.33,0.09,1,0,0,positive
0.33,0.12,0,0,1,0.33,0.33,0.11,1,0.33,0,positive
0.33,0.07,0.5,0,1,0.33,0,0.11,1,0,0,negative
0.33,0.07,0.5,0,0.33,0.67,0,0.32,1,0,0,negative
1,0.21,1,0.5,1,0.67,0.33,0.23,0,0.33,1,negative
0,0.03,0.25,0,1,0.33,1,0.29,1,0,0,positive
1,0.25,0.5,1,1,0.67,0,0.48,1,0,1,negative
0,0.07,1,0,1,0.67,0,0.11,1,0.33,0,negative
0.33,0.82,0.5,0,1,0.67,1,0.14,1,0,1,positive
1,0.38,1,1,0,0.67,0.67,0.79,1,0.33,0,negative
1,0.38,1,1,0.67,0.67,0.67,0.38,1,0.33,1,negative
1,0.21,0.5,0,1,0.67,1,0.23,1,0,1,negative
0.67,0.29,1,1,0.67,0.67,0.67,0.21,1,0.33,1,negative
0.33,0.24,0,0.25,0.67,1,0.67,0.21,0,0.33,1,negative
0.67,0.07,0,0,1,0.67,0.67,0.27,1,0.33,1,positive
0.33,0.03,0.25,0.75,1,0.33,0.33,0.09,0,0,0,positive
0,0.12,0.5,0,1,0.33,0,0.09,1,0,0,positive
0.33,0.07,0.5,0.5,1,0.33,0,0.84,1,0,0,negative
1,0.34,0.5,0,0.67,0.33,0,0.04,1,0,0,positive
1,0.03,1,0.75,0.33,0.33,0,0.39,0,0.33,0,negative
0,0.21,0.5,0,1,0.33,0.67,0.11,0,0.33,0,positive
1,0.16,1,0.5,0.33,1,0.33,0.5,1,0.33,0,negative
0.33,0.65,0.25,0,1,0.33,1,0.71,1,0,0,positive
0.67,0.29,1,0.75,0.33,0,0,0.3,1,0.33,1,negative
0.33,0.29,0.75,0,0,0.67,0.67,0.25,1,0,0,negative
0,0.29,0.5,0,0.33,0.67,0,0.04,1,0,0,positive
0.33,0.06,0.5,0,1,0.33,0,0.45,1,0,0,negative
1,0.29,0.5,0.75,0.33,0.33,0.67,0.16,1,0,1,negative
1,0,1,0,0,0.33,0,0.32,1,0,0,negative
0.33,0.47,0.25,1,0.67,0.33,1,0.18,0,0,0,negative
0.33,0.29,0.5,0,0,0.33,0.67,0.07,1,0.33,0,positive
0,0.21,0.5,0.25,0.67,0.67,0.67,0.29,1,0,1,negative
1,0.03,1,0,0,0.67,1,0.46,1,0.33,1,negative
0.33,0.38,0,0.25,1,0.33,0.67,0.13,1,0.33,0,positive
0,0.29,0.25,0.25,0.33,0.67,0.67,0.23,0,0,0,negative
1,0.25,0.5,1,1,0.67,0.33,0.39,1,0,1,negative
0,0.29,0.25,0.5,1,0.67,0,0.05,0.5,0,1,negative
0,0.51,1,1,1,0.67,0.33,0.2,1,0.33,1,negative
0,0.13,1,0,0.67,0.67,0.33,0.16,0,0.33,0,negative
1,0.25,0.5,1,0,0.67,0.67,0.13,1,0,0,negative
0.33,0.09,0.25,0,1,0.67,0,0.07,0.5,0,0,negative
0,0.16,0.5,0,0,0.33,0.67,0.07,1,0,0,negative
0,0.12,0.5,0,0.67,0.33,0,0.32,1,0,0,positive
1,0.16,0.5,0,0.33,0.67,0.67,0.25,1,0,0,negative
0,0.03,0.5,0,0.33,0.33,0.33,0.54,0,0,1,negative
0,0.21,0.5,0,0,0.33,0.67,0.07,1,0,0,positive
0.33,0.12,0.5,0.25,0.33,0.33,0,0.07,1,0,0,negative
1,0.38,1,0,1,0.33,0.67,0.11,1,0.33,0,negative
1,0.12,0.75,0.75,1,0.67,1,0.64,1,0.33,0,positive
0,0.29,0.5,1,1,0.33,1,0.23,1,0,0,positive
0.67,0.03,1,0,0,0.67,0,0.98,1,0.67,0,negative
0.67,0.16,1,1,0.67,0.67,1,0.36,1,0.33,1,positive
1,0.29,0.5,0,0.33,0.67,0,0.21,1,0,1,negative
0,0.12,1,0,1,0.67,0.33,0.29,1,0.33,0,positive
1,0.16,1,1,0,0.33,0.67,0.71,1,0,1,negative
0,0.21,1,0,1,0.33,0,0.09,1,0.33,0,positive
0,0.12,0.5,0,1,0.67,0.33,0.09,1,0,0,negative
1,0.25,1,1,1,0.67,1,0.2,1,0,1,positive
1,0.29,1,0.25,1,1,0.33,0.14,1,0.33,1,negative
0.33,0.12,0.5,0,0.67,1,0,0.38,0,0.33,0,negative
0,0.38,0.5,0,0.33,0,0.33,0.21,1,0,0,positive
0.33,0.12,1,0,0,0.67,0.67,0.16,1,0.67,1,negative
1,0.09,0.5,1,0,0.33,0,0.21,1,0,0,negative
1,0.12,1,0,0.33,0.67,0,0.79,1,0.33,1,negative
0,0.29,0.5,1,0.33,0.33,0,0.13,1,0,0,negative
0,0.47,1,0,0.67,0.33,1,0.11,1,0.33,1,positive
1,0.25,1,0,0,0.67,0.67,0.3,1,0,1,negative
1,0.29,1,0.25,1,0.67,0.33,0.59,0,0.33,0,negative
0.67,0.12,1,0.5,0.33,0.67,1,0.84,0,0.67,0,negative
0,0.29,0.5,1,1,0.33,0,0.11,1,0,0,positive
1,0.47,1,0,1,0.67,0.67,0.32,1,0.33,1,negative
0,0.21,0.5,0,1,0.33,0,0.11,1,0,0,negative
1,0.47,1,0.75,1,0.67,0.67,0.34,1,0.33,1,negative
0.33,0.21,0.5,0,0.33,0.33,0.67,0.86,1,0,1,negative
0.33,0.51,1,0,0.33,0.67,0,0.11,1,0.33,0,positive
1,0.29,1,0.75,1,0.67,0,0.73,1,0,1,negative
0.33,0.12,0,0,0.33,0.67,0,0.21,1,0,1,negative
0.33,0.12,0.5,0.25,1,0.33,0.33,0.07,0,0,0,positive
0.33,0.24,0.5,1,0,0,0,0.73,1,0,1,negative
0.33,0.21,0.5,0.75,1,0.67,0.33,0.29,1,0,1,negative
1,0.26,0.5,0.5,0.67,0.67,0.67,0.38,1,0,0,negative
1,0.65,1,1,1,0.67,0.67,0.34,1,0.33,1,negative
0.33,0.65,0.75,0,1,0.67,1,0.55,1,0,0,positive
0,0.53,1,0,1,0.67,1,0.14,0,0,1,positive
0.33,0.25,0.5,0,0.33,0.33,0.33,0.36,1,0,0,positive
1,0.29,0.5,1,0.67,0.67,0.67,0.39,1,0,1,negative
1,0.03,1,1,0,1,0.33,0.14,1,0.33,0,negative
0.67,0.29,0.5,0,0.67,0,1,0.57,1,0,0,negative
1,0.29,0.5,0.5,1,0.67,1,0.23,1,0,1,negative
1,0.07,0.5,0.25,0.33,0.33,0.33,0.05,1,0,0,negative
0,0.21,0.5,1,0,0.67,0.33,0.57,1,0,1,positive
1,0.12,1,0,0.33,0.33,0.33,0.05,1,0.33,0,negative
1,0.29,0.75,1,1,1,0.67,0.63,1,0.33,1,negative
0.33,0.07,0.5,1,1,0.67,0,0.29,1,0,0,negative
1,0.29,1,0,1,0.67,1,0.63,1,0.33,0,negative
0.33,0.21,1,0,0.67,0.33,0,0.52,0,0.33,1,negative
0,0.24,1,0,0,0.33,0.33,0.09,1,0.33,0,negative
1,0.12,1,1,1,0.67,0.67,0.29,1,0.33,0,negative
0.33,0.12,0.5,1,0,0.33,0,0.09,1,0,0,negative
0,0.47,0.5,0,0.33,0.67,0.67,0.09,1,0,1,positive
0.33,0.03,0.5,0,0.67,1,0,0.13,1,0,0,negative
1,0.12,1,1,1,0.67,0,0.82,1,1,0,negative
0.33,0.56,0.25,0,0,0.67,1,0.64,0,0,1,negative
0.33,0.16,0,0,0.33,0.33,0,0.13,1,0.33,0,positive
0.33,0.06,0.5,0,0.67,1,0,0.13,1,0,1,negative
0.33,0.03,0.5,0,0.67,1,0,0.16,0,0,0,negative
0,0.47,1,0,1,0.67,0.67,0.09,1,0.33,1,positive
0,0.65,0.5,0,0.67,0.67,0.67,0.63,1,0,0,positive
0,0.65,0.5,0,1,0.67,1,0.48,1,0,0,positive
0.33,0.47,0.75,0,0.33,0.33,0.33,0.63,1,0,0,negative
1,0.03,0.5,0.5,0,0,0,0.77,1,0,0,negative
1,0.03,1,0,0,0.33,0.67,0.09,1,0.33,1,negative
0,0.47,0.5,0,0.33,0,0.67,0.43,1,0,0,negative
0,0.21,0.5,0,1,1,0,0.13,0,0,0,positive
1,0.12,0.5,0,0.67,1,0,0.14,1,0.33,1,negative
0.67,0.12,0.5,0,0.67,1,0.67,0.09,1,0,0,negative
0,0.47,0.5,0,0.33,0.67,0.33,0.39,0,0,0,positive
0,0.06,1,0,1,0.67,0,0.5,1,0.33,0,negative
1,0.21,1,0,0.67,0,0.67,0.29,1,0.33,1,negative
0,0.25,1,0,1,1,0.67,0.2,1,0.33,1,negative
0,0.21,1,0,0,0.33,0,0.25,0,0.67,1,positive
1,0.21,0,0,0.33,0.67,0.67,0.3,0.5,0.33,0,positive
0,0.47,0.5,1,0.67,0.67,1,0.5,1,0,0,positive
0.33,0.65,0.75,1,1,0.67,1,0.34,1,0,1,negative
1,0.29,0.75,0.5,1,0.67,0.67,0.45,1,0.33,1,negative
0,0.21,0.5,0,1,0.33,0.67,0.07,1,0,1,positive
0,0.6,0,0,0.33,0.67,0.67,0.18,1,0.33,0,positive
0.33,0.29,0.5,1,0.33,0.33,0.67,0.41,1,0,1,negative
0.67,0.16,0.5,0,0.33,0.33,0,0.11,1,0,0,positive
0,0.12,0,0,1,0.67,0.67,0.52,0,0.33,0,positive
1,0.12,0.5,1,1,0.33,0.67,0.04,1,0,0,negative
1,0,0.5,0,0,0.33,0,0.07,1,0,0,negative
0,0.29,1,0,1,0.67,0.33,0.79,1,0.33,1,negative
1,0.29,1,0,1,1,0,0.48,1,0.33,0,negative
0,0.47,0.5,0,1,0.67,0.33,0.18,1,0,0,positive
1,0.25,0.75,0,0.67,0.67,0,0.16,0.5,0.33,0,negative
1,0.21,0.5,0,1,0.33,0,0.07,1,0,0,positive
1,0.29,0.25,0,1,0.67,0.67,0.55,0,0,1,negative
1,0.21,0.5,0,1,0.67,0.33,0.5,0,0.67,1,negative
0.33,0.25,0.5,1,0.33,0.67,0.67,0.29,1,0,1,negative
1,0.21,0.5,1,0.33,0.67,0.67,0.88,1,0.33,0,positive
1,0.29,0.5,0,1,1,0,0.16,1,0,0,negative
0,0.07,0.5,0,0.67,0.67,0,0.71,1,0,0,negative
0,0.12,0.5,0,1,0.67,0,0.68,0.5,0,0,positive
0,0.24,1,0,1,1,0.33,0.25,0,0.33,0,positive
1,0.29,1,1,0.67,0.67,0.33,0.43,1,0.33,1,negative
1,0.16,1,0,1,0.67,1,0.29,1,0.33,1,negative
0,0.21,0.25,0,1,0.67,1,0.23,1,0.33,0,positive
1,0.47,0.75,0,0.33,0.67,0.67,0.46,1,0.33,1,negative
1,0.29,0.5,0.25,1,1,0,0.25,1,0,1,negative
1,0.09,0.5,1,1,0.33,0.33,0.38,1,0,1,negative
1,0.16,1,0,1,0.67,1,0.16,1,0,1,negative
0,0.16,0.5,0,0.67,0.33,0.33,0.18,1,0,1,positive
1,0.07,0.5,0.25,0,0.67,0,0.13,1,0,0,negative
1,0.29,1,0.75,1,0.67,0,0.14,1,0.33,0,negative
1,0.21,0.75,0,1,1,0.67,0.16,1,0,1,positive
0,0.29,0.5,0,1,0.33,0,0.29,1,0,1,positive
1,0.34,1,0.75,1,0.67,0,0.23,0.5,0.33,1,negative
1,0.09,0.5,0,0.33,0.67,0,0.11,0,0,0,positive
1,0.16,0.5,0.5,0.33,0.33,0.67,0.02,1,0,0,negative
0,0.21,0.5,0,1,0.33,0.67,0.14,0.5,0,0,negative
