Lenght,P_and,Class
7,0.657,negative
7,0.881,negative
18,0.741,negative
7,0.743,negative
3,0.944,negative
8,1,negative
4,0.708,negative
6,0.333,negative
5,0.52,negative
7,0.914,negative
2,1,negative
3,0.733,negative
6,0.733,negative
7,0.857,negative
7,0.881,negative
8,0.475,negative
7,0.952,negative
19,0.4,negative
5,0.56,negative
6,0.5,negative
6,0.792,negative
18,0.528,negative
7,0.548,negative
7,0.886,negative
4,0.8,negative
25,0.286,negative
25,0.68,negative
16,0.643,negative
103,0.691,negative
9,0.626,negative
8,1,negative
8,0.477,negative
8,1,negative
35,0.657,negative
113,0.472,positive
59,0.475,positive
20,0.675,positive
101,0.743,positive
38,0.947,negative
21,0.772,negative
37,0.913,negative
98,0.835,negative
50,0.958,negative
194,0.273,positive
18,0.694,positive
22,0.75,positive
18,0.833,positive
22,0.864,positive
66,0.661,negative
90,0.786,negative
22,0.818,negative
92,0.885,negative
12,0.981,negative
51,0.786,negative
34,0.886,negative
80,0.878,negative
95,0.937,negative
99,0.601,negative
12,1,negative
53,0.819,negative
92,0.843,negative
85,0.894,negative
83,0.849,negative
12,1,negative
64,0.97,negative
102,0.768,negative
12,0.979,negative
56,0.827,negative
84,0.937,negative
54,0.957,negative
41,0.775,negative
83,0.827,negative
4,0.4,negative
11,1,negative
44,0.767,negative
34,0.885,negative
76,0.882,negative
14,0.958,negative
7,0.583,negative
44,0.742,negative
63,0.705,negative
32,0.594,negative
116,0.494,positive
10,1,positive
13,1,positive
8,1,positive
44,1,positive
20,0.875,positive
20,0.85,positive
10,0.808,negative
86,0.853,negative
20,0.75,negative
5,0.933,negative
3,0.417,negative
113,0.378,positive
3,0.486,positive
48,0.677,positive
65,0.877,negative
37,0.898,negative
21,0.762,negative
8,0.328,negative
100,0.91,negative
85,0.812,negative
32,0.781,negative
101,0.888,negative
119,0.798,negative
126,0.862,negative
13,0.462,negative
75,0.606,negative
119,0.747,negative
44,0.852,negative
40,0.967,negative
48,0.914,negative
44,0.937,negative
47,0.747,negative
40,0.919,negative
116,0.371,positive
18,0.722,positive
132,0.558,positive
17,1,positive
8,1,positive
69,0.906,positive
46,0.761,positive
77,0.874,negative
41,0.886,negative
57,1,positive
10,1,positive
185,0.651,negative
152,0.778,negative
116,0.802,positive
123,0.986,negative
17,0.971,positive
131,0.857,negative
12,1,negative
27,0.481,negative
15,0.762,negative
58,0.751,negative
46,0.587,negative
27,1,negative
17,0.58,negative
31,0.516,negative
12,1,negative
17,1,negative
11,0.955,negative
19,1,negative
107,0.654,negative
9,0.778,negative
9,0.727,negative
8,1,negative
8,0.466,negative
7,1,negative
7,1,negative
9,0.636,negative
8,0.852,negative
43,1,positive
38,0.887,negative
20,1,negative
36,0.929,negative
98,0.835,negative
49,0.961,negative
21,0.843,negative
19,0.76,negative
55,1,negative
14,0.937,negative
23,1,negative
35,0.886,negative
96,0.815,negative
66,0.805,negative
34,0.817,negative
83,0.908,negative
80,0.922,negative
95,0.723,negative
80,0.883,negative
13,0.685,negative
70,0.918,negative
84,0.82,negative
99,0.818,negative
80,0.868,negative
101,0.818,negative
26,1,negative
40,0.733,negative
84,0.966,negative
53,0.981,negative
41,0.942,negative
82,0.74,negative
14,0.612,negative
26,0.947,negative
46,0.951,negative
34,0.961,negative
26,0.941,negative
42,0.829,negative
62,0.66,negative
75,0.888,negative
18,0.986,negative
33,0.844,negative
64,0.899,negative
36,0.932,negative
8,0.344,negative
21,0.673,negative
99,0.942,negative
84,0.791,negative
31,0.79,negative
2,0.816,positive
101,0.861,negative
118,0.817,negative
2,0.8,positive
126,0.833,negative
117,0.673,negative
35,0.667,negative
46,0.676,negative
2,0.6,positive
44,0.938,negative
48,0.807,negative
40,0.991,negative
45,0.956,negative
20,0.556,negative
22,0.965,negative
41,0.933,negative
112,0.504,positive
45,1,positive
75,1,positive
43,0.814,negative
301,0.735,negative
35,0.873,negative
122,0.947,negative
130,0.773,negative
46,0.804,negative
27,0.673,negative
8,0.675,negative
3,1,negative
35,0.829,negative
47,0.739,negative
31,0.774,negative
16,0.938,negative
122,0.626,negative
21,0.68,negative
8,0.602,negative
9,0.818,negative
8,1,negative
21,0.6,negative
157,0.551,positive
38,0.897,negative
36,0.914,negative
20,0.938,negative
96,0.886,negative
49,0.998,negative
32,1,positive
52,1,positive
13,1,positive
23,1,negative
37,0.808,negative
20,0.872,negative
79,0.956,negative
81,0.897,negative
67,0.746,negative
32,0.826,negative
2,0.516,positive
11,1,negative
64,0.808,negative
83,0.725,negative
73,0.591,negative
17,0.801,negative
12,0.88,negative
82,0.913,negative
53,0.901,negative
83,0.9,negative
81,0.81,negative
82,0.871,negative
100,0.765,negative
71,0.748,negative
82,0.935,negative
97,0.921,negative
32,0.861,negative
82,0.951,negative
13,0.981,negative
8,1,negative
43,0.791,negative
75,0.91,negative
84,0.681,negative
123,0.504,positive
36,1,positive
123,0.089,negative
6,0.646,negative
65,0.911,negative
37,0.946,negative
20,0.772,negative
8,0.781,negative
100,0.874,negative
32,0.781,negative
82,0.817,negative
101,0.893,negative
116,0.707,negative
126,0.848,negative
86,0.647,negative
115,0.723,negative
2,0.875,positive
44,0.944,negative
46,0.918,negative
40,0.991,negative
45,0.956,negative
45,0.897,negative
41,0.966,negative
19,1,positive
9,1,positive
42,0.97,negative
339,0.547,negative
123,0.888,negative
446,0.603,positive
3,0.909,positive
131,0.851,negative
4,0.565,positive
3,0.841,positive
7,0.432,positive
236,0.689,positive
61,1,positive
14,0.661,negative
174,0.737,negative
45,0.725,negative
27,0.619,negative
9,1,negative
122,0.65,negative
96,0.954,negative
402,0.094,positive
463,0.121,positive
20,0.89,negative
97,0.973,negative
21,0.878,negative
80,0.954,negative
85,0.664,negative
76,0.874,negative
2,0.563,negative
33,0.774,negative
120,0.859,negative
118,0.767,negative
207,0.723,negative
92,0.954,negative
93,0.888,negative
43,0.922,negative
213,0.379,positive
465,0.123,positive
79,0.195,positive
9,0.492,negative
7,0.619,negative
152,1,positive
51,1,positive
17,0.824,negative
22,1,negative
29,0.92,negative
46,0.835,negative
30,0.66,negative
16,0.938,negative
45,0.775,negative
27,0.741,negative
122,0.54,negative
49,0.666,negative
35,0.584,negative
462,0.688,positive
38,0.892,negative
36,0.926,negative
98,0.881,negative
21,0.958,negative
49,0.943,negative
49,1,negative
52,1,positive
52,1,positive
24,0.821,negative
36,0.889,negative
21,0.899,negative
78,0.863,negative
67,0.844,negative
33,0.864,negative
79,0.88,negative
80,0.799,negative
97,0.666,negative
82,0.92,negative
69,0.876,negative
84,0.778,negative
82,0.879,negative
11,1,negative
63,0.895,negative
102,0.829,negative
82,0.935,negative
26,0.918,negative
47,0.753,negative
53,0.9,negative
40,0.878,negative
82,0.997,negative
34,0.803,negative
81,0.927,negative
13,0.979,negative
8,1,negative
43,0.875,negative
75,0.914,negative
86,0.764,negative
33,1,positive
124,1,positive
75,1,positive
6,0.593,negative
64,0.966,negative
36,0.926,negative
34,0.641,negative
98,0.945,negative
121,0.817,negative
100,0.882,negative
118,0.745,negative
126,0.883,negative
85,0.696,negative
43,0.959,negative
47,0.757,negative
40,0.895,negative
44,0.944,negative
47,0.78,negative
41,0.962,negative
8,1,positive
40,1,positive
55,1,positive
39,0.937,negative
340,0.592,negative
123,0.991,negative
115,1,positive
131,0.845,negative
11,1,positive
46,1,positive
64,0.586,positive
47,0.878,negative
27,0.829,negative
17,0.933,negative
59,0.881,negative
47,0.88,negative
32,0.789,negative
16,0.906,negative
115,0.487,positive
16,0.768,negative
100,0.849,negative
8,0.656,negative
8,0.969,negative
8,0.5,negative
8,1,negative
7,1,negative
23,0.623,negative
463,0.16,positive
18,0.607,negative
51,0.855,negative
24,1,negative
22,0.836,negative
37,0.901,negative
101,0.695,negative
34,0.906,negative
98,0.643,negative
83,0.814,negative
114,0.301,negative
101,0.792,negative
87,0.901,negative
98,0.861,negative
84,0.849,negative
47,0.948,negative
33,0.983,negative
78,0.856,negative
8,1,negative
43,0.849,negative
86,0.808,negative
5,0.889,negative
146,0.128,positive
2,0.706,positive
7,0.683,negative
21,0.744,negative
121,0.843,negative
118,0.797,negative
37,0.708,negative
47,0.628,negative
92,0.851,negative
21,0.819,negative
47,0.865,negative
41,0.992,negative
18,0.872,negative
47,0.917,negative
41,0.976,negative
45,0.938,negative
48,1,positive
29,1,positive
17,1,positive
46,0.818,negative
31,0.857,negative
17,0.686,negative
59,0.888,negative
17,0.857,negative
28,0.844,negative
45,0.789,negative
123,0.514,negative
9,0.768,negative
8,1,negative
61,0.614,negative
330,0.066,positive
464,0.07,positive
38,0.939,negative
36,0.923,negative
98,0.974,negative
21,0.857,negative
49,0.982,negative
286,0.427,positive
23,1,negative
37,0.811,negative
21,0.757,negative
79,0.899,negative
66,0.78,negative
34,0.902,negative
82,0.936,negative
79,0.784,negative
98,0.627,negative
83,0.813,negative
11,1,negative
53,0.811,negative
85,0.828,negative
82,0.924,negative
80,0.838,negative
102,0.764,negative
82,0.866,negative
26,0.96,negative
47,0.747,negative
99,0.93,negative
83,0.909,negative
34,0.891,negative
82,0.924,negative
13,0.981,negative
8,1,negative
42,0.788,negative
86,0.844,negative
76,0.95,negative
6,0.759,negative
65,0.971,negative
36,0.948,negative
7,0.603,negative
22,0.843,negative
99,0.917,negative
85,0.846,negative
32,0.792,negative
100,0.882,negative
118,0.784,negative
125,0.804,negative
85,0.675,negative
43,0.94,negative
48,0.742,negative
40,0.992,negative
44,0.879,negative
47,0.825,negative
42,0.976,negative
18,1,positive
7,1,positive
117,1,positive
42,0.85,negative
340,0.468,negative
77,1,positive
40,1,positive
130,0.856,negative
28,1,positive
35,1,positive
13,0.577,negative
18,0.452,negative
42,0.857,negative
31,0.714,negative
16,0.634,negative
23,0.54,negative
8,0.518,negative
2,0.929,negative
7,0.898,negative
11,0.848,negative
121,0.607,negative
21,0.719,negative
9,0.768,negative
8,0.7,negative
8,0.989,negative
7,0.481,negative
8,0.989,negative
14,1,positive
38,0.898,negative
20,1,negative
36,0.901,negative
98,0.778,negative
49,0.998,negative
23,1,positive
19,1,positive
78,0.896,negative
14,1,negative
106,0.396,negative
24,0.974,negative
36,0.885,negative
22,0.909,negative
12,1,negative
6,0.907,negative
38,0.757,negative
34,0.895,negative
12,1,negative
63,0.787,negative
104,0.904,negative
75,0.679,negative
17,0.676,negative
82,0.778,negative
16,0.859,positive
12,1,negative
53,0.889,negative
85,0.902,negative
12,1,negative
63,0.898,negative
82,0.947,negative
10,0.522,positive
102,0.804,negative
90,0.716,negative
26,0.907,negative
41,0.74,negative
99,0.962,negative
81,0.826,negative
26,0.947,negative
46,0.848,negative
34,0.863,negative
26,0.83,negative
43,0.789,negative
75,0.955,negative
86,0.701,negative
79,1,positive
6,0.813,negative
11,1,positive
98,1,positive
13,1,positive
64,0.984,negative
36,0.944,negative
8,0.672,negative
21,0.845,negative
99,0.906,negative
121,0.776,negative
100,0.908,negative
118,0.798,negative
126,0.907,negative
117,0.635,negative
14,0.554,negative
71,0.776,negative
44,0.949,negative
48,0.885,negative
40,0.997,negative
45,0.896,negative
47,0.896,negative
42,0.94,negative
17,1,positive
43,0.956,negative
300,0.607,negative
35,0.841,negative
122,0.829,negative
130,0.877,negative
45,0.806,negative
31,0.853,negative
14,0.881,negative
18,0.813,negative
58,0.842,negative
40,0.754,negative
28,0.53,negative
15,0.8,negative
38,0.489,negative
31,0.465,negative
77,0.564,negative
33,0.534,negative
19,0.695,negative
121,0.675,negative
22,0.694,negative
9,0.717,negative
8,1,negative
21,0.58,negative
8,0.875,negative
461,0.248,positive
38,0.939,negative
36,0.91,negative
21,0.942,negative
97,0.939,negative
49,0.995,negative
15,1,positive
23,0.986,negative
37,0.85,negative
21,0.778,negative
91,0.956,negative
67,0.649,negative
32,0.806,negative
92,0.917,negative
12,1,negative
64,0.818,negative
98,0.624,negative
100,0.847,negative
12,1,negative
53,0.805,negative
84,0.843,negative
81,0.918,negative
13,0.752,positive
80,0.8,negative
101,0.852,negative
81,0.974,negative
9,0.864,negative
72,0.807,negative
84,0.955,negative
52,0.996,negative
41,0.846,negative
27,0.975,negative
46,0.843,negative
33,0.97,negative
81,0.916,negative
7,0.69,positive
14,0.981,negative
8,1,negative
43,0.753,negative
75,0.913,negative
48,0.755,negative
9,0.802,negative
18,1,negative
6,0.548,negative
1,1,positive
64,0.914,negative
36,0.938,negative
33,0.705,negative
99,0.912,negative
122,0.689,negative
101,0.869,negative
118,0.734,negative
125,0.862,negative
117,0.712,negative
85,0.744,negative
43,0.948,negative
47,0.738,negative
40,0.889,negative
44,0.952,negative
46,0.838,negative
42,0.931,negative
37,1,positive
46,1,positive
42,1,positive
42,0.931,negative
300,0.576,negative
35,0.943,negative
122,0.961,negative
176,0.605,positive
3,0.952,positive
130,0.925,negative
17,1,positive
39,1,positive
44,1,positive
14,1,positive
36,1,positive
17,1,positive
52,0.702,negative
17,0.559,negative
31,0.974,negative
23,1,negative
44,0.791,negative
56,0.5,negative
32,1,negative
16,0.813,negative
14,0.821,positive
183,0.577,positive
77,0.76,negative
34,0.851,negative
22,0.798,negative
67,0.689,negative
123,0.626,negative
8,0.51,negative
8,0.927,negative
9,0.657,negative
9,0.818,negative
9,0.727,negative
8,1,negative
8,1,negative
29,1,positive
14,1,positive
45,1,positive
39,0.923,negative
21,0.958,negative
97,0.832,negative
36,0.948,negative
300,0.071,positive
49,0.939,negative
50,0.51,positive
79,0.873,negative
24,0.907,negative
37,0.898,negative
21,0.905,negative
81,0.863,negative
67,0.745,negative
32,0.898,negative
11,0.558,negative
99,0.801,negative
12,1,negative
64,0.842,negative
94,0.604,negative
2,0.667,positive
99,0.826,negative
83,0.756,negative
12,1,negative
54,0.887,negative
95,0.849,negative
12,1,negative
64,0.92,negative
101,0.849,negative
82,0.814,negative
73,0.743,negative
98,0.781,negative
81,0.819,negative
27,0.951,negative
47,0.943,negative
32,0.993,negative
75,0.936,negative
27,0.898,negative
43,0.793,negative
61,0.746,negative
19,0.837,negative
204,0.681,positive
29,0.572,negative
65,0.901,negative
36,0.944,negative
21,0.81,negative
7,0.429,negative
100,0.924,negative
32,0.691,negative
83,0.843,negative
101,0.855,negative
118,0.7,negative
126,0.875,negative
86,0.757,negative
116,0.804,negative
43,0.953,negative
46,0.938,negative
41,0.976,negative
44,0.92,negative
45,0.923,negative
42,0.915,negative
35,1,positive
455,0.095,negative
43,0.927,negative
301,0.564,negative
35,0.902,negative
123,0.898,negative
142,0.173,positive
30,0.09,positive
130,0.822,negative
14,1,positive
3,0.667,negative
5,0.9,negative
14,0.938,negative
50,0.8,negative
3,0.667,negative
23,1,negative
15,0.683,negative
14,0.643,negative
2,1,negative
21,0.762,negative
6,0.762,negative
2,0.929,negative
3,0.708,negative
14,0.99,negative
59,0.691,negative
121,0.646,negative
9,0.687,negative
8,1,negative
7,0.429,negative
8,1,negative
8,1,negative
9,0.656,negative
8,0.888,negative
69,1,positive
38,0.887,negative
36,0.84,negative
97,0.825,negative
21,1,negative
49,0.961,negative
148,1,positive
20,0.972,negative
36,0.806,negative
21,0.82,negative
80,0.914,negative
11,1,negative
50,0.716,negative
33,0.781,negative
83,0.94,negative
11,1,negative
63,0.778,negative
74,0.628,negative
17,0.654,negative
84,0.954,negative
12,0.898,negative
82,0.84,negative
53,0.894,negative
84,0.896,negative
12,1,negative
63,0.908,negative
101,0.77,negative
83,0.979,negative
72,0.78,negative
97,0.863,negative
83,0.955,negative
26,0.953,negative
46,0.872,negative
83,0.751,negative
33,0.973,negative
26,0.888,negative
43,0.774,negative
62,0.705,negative
18,1,negative
76,0.903,negative
6,0.646,negative
84,1,positive
73,1,positive
64,0.889,negative
36,0.938,negative
8,0.672,negative
21,0.774,negative
99,0.951,negative
83,0.751,negative
32,0.674,negative
100,0.846,negative
118,0.745,negative
126,0.953,negative
86,0.677,negative
116,0.797,negative
43,0.953,negative
47,0.872,negative
40,0.997,negative
43,0.899,negative
46,0.927,negative
42,0.979,negative
2,0.738,positive
41,0.963,negative
70,0.062,positive
342,0.548,negative
123,0.996,negative
147,1,positive
131,0.856,negative
17,1,positive
1,1,positive
89,0.706,negative
31,0.813,negative
230,0.57,negative
43,0.807,negative
172,0.337,positive
72,0.848,negative
76,0.795,negative
190,0.847,negative
71,0.866,negative
71,0.861,negative
116,0.658,negative
93,0.895,negative
109,0.848,negative
64,0.857,negative
133,0.718,negative
100,0.822,negative
49,0.641,negative
43,0.69,negative
29,0.874,negative
48,0.76,negative
35,0.829,negative
37,0.964,negative
85,0.633,negative
217,0.686,negative
487,0.63,negative
440,0.696,negative
168,0.719,negative
1,1,positive
65,0.677,negative
1,1,positive
1,1,positive
121,0.873,negative
118,0.726,negative
1,1,positive
106,0.688,negative
9,0.238,positive
72,0.257,positive
1,1,positive
34,0.846,negative
1,1,positive
6,1,positive
1,1,positive
108,0.746,negative
185,0.659,negative
39,0.882,negative
1,1,positive
116,0.788,negative
89,0.79,negative
46,0.963,negative
29,0.813,negative
172,0.907,negative
17,0.929,negative
1,1,positive
54,0.519,positive
72,0.856,negative
76,0.87,negative
181,0.684,negative
71,0.903,negative
72,0.811,negative
94,0.721,negative
71,0.726,negative
108,0.831,negative
64,0.846,negative
33,0.645,negative
132,0.861,negative
54,0.689,negative
44,0.766,negative
99,0.881,negative
61,0.515,negative
59,0.861,negative
137,0.564,negative
407,0.649,negative
408,0.677,negative
410,0.592,negative
86,0.914,negative
409,0.582,negative
307,0.771,negative
410,0.67,negative
34,0.656,negative
410,0.604,negative
151,0.726,negative
66,0.78,negative
117,0.947,negative
115,0.695,negative
103,0.724,negative
79,0.179,positive
33,0.842,negative
63,0.724,negative
14,0.964,negative
79,0.841,negative
75,0.909,negative
107,0.858,negative
114,0.741,negative
39,0.728,negative
114,0.741,negative
90,0.77,negative
28,0.804,negative
1,1,positive
46,0.886,negative
17,0.824,negative
28,0.99,negative
175,0.991,negative
168,0.73,negative
58,0.803,negative
71,0.834,negative
136,0.748,negative
76,0.813,negative
181,0.758,negative
70,0.911,negative
217,0.632,negative
71,0.958,negative
87,0.671,negative
93,0.847,negative
107,0.738,negative
62,0.968,negative
84,0.878,negative
133,0.825,negative
100,0.795,negative
51,0.775,negative
43,0.969,negative
29,0.799,negative
35,0.714,negative
40,0.988,negative
44,0.949,negative
80,0.673,negative
89,0.879,negative
418,0.619,negative
129,0.711,negative
77,0.7,negative
119,0.965,negative
116,0.703,negative
104,0.758,negative
70,0.255,positive
33,0.694,negative
128,0.751,negative
14,0.939,negative
84,0.792,negative
107,0.861,negative
115,0.92,negative
39,0.867,negative
114,0.978,negative
90,0.907,negative
172,0.799,negative
17,0.853,negative
45,0.785,negative
27,1,negative
71,0.843,negative
190,0.63,negative
76,0.799,negative
70,0.986,negative
71,0.768,negative
77,0.905,negative
93,0.835,negative
107,0.875,negative
29,0.765,negative
62,0.869,negative
130,0.876,negative
100,0.828,negative
50,0.713,negative
44,0.811,negative
29,0.89,negative
35,0.652,negative
40,0.964,negative
42,0.841,negative
83,0.628,negative
234,0.634,negative
409,0.602,negative
412,0.664,negative
152,0.714,negative
147,0.703,negative
9,0.802,negative
124,0.814,negative
121,0.69,negative
90,0.868,negative
409,0.573,negative
128,0.737,negative
410,0.661,negative
142,0.759,negative
410,0.706,negative
291,0.627,negative
277,0.636,negative
67,0.704,negative
119,0.81,negative
117,0.729,negative
11,0.667,positive
71,0.296,positive
33,0.742,negative
108,0.868,negative
183,0.664,negative
39,0.872,negative
116,0.649,negative
90,0.804,negative
337,0.637,negative
16,0.884,negative
304,0.686,positive
69,0.848,negative
74,0.887,negative
189,0.704,negative
69,0.984,negative
70,0.841,negative
91,0.908,negative
77,0.97,negative
106,0.791,negative
62,0.925,negative
30,0.649,negative
132,0.873,negative
101,0.876,negative
50,0.687,negative
46,0.75,negative
29,0.684,negative
35,0.826,negative
37,0.934,negative
43,0.886,negative
84,0.703,negative
160,0.389,negative
498,0.639,negative
58,0.599,negative
35,0.86,negative
176,0.599,negative
442,0.215,positive
259,0.481,positive
22,0.932,negative
124,0.869,negative
13,0.863,negative
12,0.944,negative
37,0.899,negative
13,0.88,negative
122,0.881,negative
5,0.556,negative
38,0.852,negative
13,0.837,negative
497,0.751,negative
498,0.688,negative
54,0.622,negative
37,0.748,negative
497,0.594,negative
50,0.627,negative
61,0.834,negative
500,0.595,negative
497,0.733,negative
25,0.643,negative
108,0.815,negative
184,0.752,negative
39,0.744,negative
116,0.784,negative
89,0.916,negative
46,0.994,negative
27,0.852,negative
172,0.967,negative
17,0.807,negative
71,0.876,negative
75,0.86,negative
189,0.83,negative
70,0.914,negative
70,0.896,negative
76,0.955,negative
93,0.937,negative
108,0.897,negative
63,0.971,negative
34,0.642,negative
123,0.827,negative
99,0.803,negative
50,0.812,negative
43,0.786,negative
28,0.871,negative
42,0.817,negative
35,0.686,negative
40,0.969,negative
286,0.317,positive
386,0.658,negative
60,0.822,negative
67,0.693,negative
118,0.818,negative
115,0.65,negative
96,0.207,positive
33,0.845,negative
107,0.86,negative
183,0.664,negative
39,0.739,negative
115,0.704,negative
88,0.775,negative
27,0.815,negative
337,0.648,negative
17,0.866,negative
333,0.413,positive
70,0.838,negative
74,0.845,negative
191,0.748,negative
68,0.868,negative
69,0.842,negative
127,0.798,negative
91,0.789,negative
105,0.811,negative
61,0.967,negative
127,0.825,negative
30,0.739,negative
29,0.89,negative
100,0.633,negative
50,0.777,negative
43,0.981,negative
42,0.905,negative
35,0.803,negative
40,0.925,negative
84,0.59,negative
249,0.842,negative
410,0.696,negative
232,0.703,negative
67,0.751,negative
119,0.891,negative
116,0.756,negative
104,0.779,negative
62,0.17,positive
33,0.791,negative
101,0.734,negative
6,1,positive
108,0.794,negative
185,0.611,negative
38,0.695,negative
116,0.676,negative
89,0.758,negative
27,0.926,negative
174,0.733,negative
17,0.933,negative
28,0.835,negative
46,0.886,negative
71,0.836,negative
75,0.86,negative
192,0.746,negative
70,0.988,negative
121,0.879,negative
71,0.897,negative
23,0.858,negative
115,0.672,negative
90,0.808,negative
71,0.762,negative
83,0.86,negative
132,0.921,negative
101,0.752,negative
51,0.817,negative
45,0.967,negative
44,0.744,negative
35,0.832,negative
42,0.942,negative
104,0.747,negative
414,0.653,negative
181,0.866,negative
413,0.806,negative
348,0.721,negative
414,0.734,negative
20,0.605,negative
413,0.731,negative
51,0.667,negative
69,0.74,negative
121,0.849,negative
118,0.778,negative
105,0.717,negative
28,0.271,positive
60,0.371,positive
33,0.839,negative
50,0.812,negative
98,0.849,negative
1,1,positive
108,0.88,negative
186,0.652,negative
39,0.889,negative
89,0.82,negative
65,0.631,negative
389,0.584,negative
3,0.778,negative
45,0.582,negative
96,0.504,negative
79,0.616,negative
64,0.57,negative
48,0.524,negative
64,0.705,negative
10,0.792,negative
35,0.654,negative
77,0.56,negative
21,0.614,negative
23,0.319,negative
26,0.577,negative
264,0.612,negative
7,0.6,positive
197,0.751,negative
68,0.789,negative
17,0.458,positive
8,0.531,positive
69,0.441,positive
13,0.45,positive
55,0.821,negative
41,0.993,negative
67,0.724,negative
12,0.762,negative
26,0.786,negative
35,0.775,negative
272,0.789,negative
272,0.696,negative
19,0.541,positive
19,0.504,positive
271,0.677,negative
271,0.754,negative
272,0.65,negative
14,0.338,positive
271,0.704,negative
271,0.727,negative
24,0.298,positive
271,0.698,negative
12,0.267,positive
5,0.45,positive
271,0.707,negative
5,0.8,positive
272,0.67,negative
15,0.295,positive
271,0.819,negative
13,0.484,positive
198,0.681,negative
7,1,positive
5,0.8,positive
3,0.6,positive
4,0.357,negative
65,0.848,negative
271,0.359,negative
29,0.884,negative
7,0.946,negative
11,0.864,negative
69,0.687,negative
55,0.657,negative
240,0.515,negative
22,0.519,negative
272,0.688,negative
272,0.539,negative
271,0.588,negative
213,0.733,negative
272,0.595,negative
9,0.533,positive
34,0.908,negative
7,0.946,negative
