Lenght,P_and,Class
15,0.72,negative
21,0.923,negative
28,0.969,negative
60,0.595,negative
12,0.857,negative
6,0.286,negative
7,1,negative
17,0.873,negative
49,0.4,positive
30,0.471,positive
7,0.6,positive
54,0.745,negative
179,0.758,negative
5,0.633,positive
25,1,negative
12,0.514,positive
49,0.398,positive
271,0.748,negative
271,0.665,negative
6,0.417,positive
9,0.296,positive
272,0.649,negative
68,0.109,positive
271,0.717,negative
47,0.289,positive
8,0.769,positive
271,0.628,negative
1,1,positive
9,0.319,positive
272,0.772,negative
272,0.786,negative
49,0.51,positive
10,0.886,negative
9,0.87,negative
10,0.675,negative
9,1,negative
25,0.825,negative
37,0.993,negative
51,0.841,negative
100,0.702,negative
31,0.871,negative
5,0.429,negative
240,0.635,negative
11,0.87,negative
236,0.572,negative
135,0.294,negative
272,0.568,negative
62,0.629,negative
38,0.789,negative
272,0.629,negative
261,0.515,negative
271,0.786,negative
245,0.555,negative
272,0.578,negative
272,0.61,negative
271,0.557,negative
108,0.618,negative
125,0.526,negative
24,0.764,negative
37,0.649,negative
98,0.864,negative
93,0.794,negative
23,0.851,negative
271,0.542,negative
271,0.671,negative
71,0.701,negative
60,0.607,negative
47,0.706,negative
7,1,negative
38,0.951,negative
12,0.733,negative
234,0.614,negative
271,0.602,negative
189,0.613,negative
65,0.725,negative
147,0.55,negative
271,0.598,negative
261,0.773,negative
271,0.769,negative
173,0.375,negative
197,0.589,negative
258,0.581,negative
96,0.479,negative
271,0.574,negative
271,0.693,negative
48,0.804,negative
243,0.342,negative
88,0.756,negative
78,0.745,negative
175,0.568,negative
17,0.731,negative
14,0.959,negative
46,0.791,negative
34,0.755,negative
7,0.939,negative
11,0.87,negative
14,0.867,negative
21,0.966,negative
8,0.768,negative
29,0.842,negative
271,0.612,negative
71,0.384,negative
25,0.91,negative
238,0.614,negative
187,0.591,negative
17,0.598,negative
15,0.744,negative
215,0.464,negative
103,0.576,negative
263,0.549,negative
15,0.642,negative
26,0.62,negative
7,0.929,negative
7,0.633,negative
30,0.876,negative
18,0.96,negative
29,0.651,negative
20,0.792,negative
18,0.956,negative
8,1,negative
7,0.657,negative
12,0.883,negative
126,0.685,negative
21,0.696,negative
99,0.662,negative
81,0.542,negative
69,0.744,negative
80,0.544,negative
128,0.663,negative
10,1,negative
11,0.233,positive
129,0.565,negative
52,0.542,negative
12,0.75,negative
21,0.733,negative
6,0.967,negative
38,0.989,negative
13,0.831,negative
6,0.767,negative
15,0.947,negative
53,0.611,negative
34,0.606,negative
30,0.947,negative
25,0.887,negative
2,1,negative
12,0.771,negative
14,0.735,negative
14,0.99,negative
8,1,negative
9,0.984,negative
4,0.571,negative
32,0.786,negative
29,0.709,negative
4,0.85,negative
8,0.975,negative
11,0.955,negative
50,0.577,negative
28,0.375,negative
43,0.8,negative
75,0.867,negative
18,0.667,negative
16,0.479,negative
79,0.42,negative
158,0.535,negative
114,1,positive
41,1,positive
6,0.792,negative
49,0.633,negative
32,0.698,negative
37,0.71,negative
19,0.956,negative
28,0.875,negative
12,0.653,negative
28,1,negative
33,1,positive
29,0.502,negative
106,1,positive
12,0.392,negative
16,0.5,negative
16,0.542,negative
11,0.477,negative
27,0.397,negative
6,0.556,negative
13,0.897,negative
41,0.652,negative
41,0.756,negative
7,0.833,negative
13,0.872,negative
41,0.927,negative
40,0.983,negative
7,0.786,negative
12,1,negative
41,0.861,negative
40,0.996,negative
12,1,negative
11,0.803,negative
12,1,negative
41,0.85,negative
40,0.686,negative
23,0.507,negative
23,0.57,negative
17,0.566,negative
37,0.691,negative
54,0.619,negative
32,0.988,negative
13,0.938,negative
17,0.745,negative
13,0.872,negative
14,0.893,negative
14,0.929,negative
17,0.951,negative
13,0.692,negative
13,0.831,negative
14,0.732,negative
24,0.771,negative
13,0.936,negative
41,0.638,negative
41,0.784,negative
27,1,positive
41,1,positive
12,0.558,negative
21,0.513,negative
15,0.556,negative
17,0.529,negative
19,0.326,negative
12,0.317,negative
16,0.602,negative
16,0.527,negative
22,1,positive
9,1,negative
58,0.224,negative
182,0.62,negative
73,0.434,negative
107,0.683,negative
18,0.716,negative
125,0.858,negative
53,0.781,negative
43,0.721,negative
8,0.964,negative
30,0.833,negative
59,0.692,negative
7,0.786,negative
17,0.965,negative
3,1,negative
6,0.881,negative
33,0.74,negative
19,1,negative
17,0.782,negative
16,0.696,negative
19,0.643,negative
18,0.714,negative
6,0.778,negative
11,0.873,negative
16,1,negative
8,0.975,negative
29,0.67,negative
21,0.757,negative
46,0.737,negative
8,1,negative
55,0.808,negative
23,0.832,negative
49,0.735,negative
17,0.941,negative
3,0.867,negative
26,0.808,negative
27,0.852,negative
14,1,negative
18,0.651,negative
9,0.905,negative
4,0.964,negative
14,0.898,negative
19,0.767,negative
27,0.764,negative
4,1,negative
38,0.85,negative
33,0.848,negative
9,0.857,negative
6,1,negative
30,0.79,negative
8,0.732,negative
46,0.575,negative
220,0.758,negative
38,0.73,negative
251,0.672,negative
151,0.77,negative
29,0.837,negative
13,0.648,negative
54,0.608,negative
7,0.857,negative
11,0.844,negative
49,0.744,negative
27,0.947,negative
21,0.939,negative
19,1,negative
41,0.527,negative
63,0.694,negative
47,0.702,negative
56,0.603,negative
22,0.697,negative
5,0.867,negative
22,1,negative
16,0.705,negative
81,0.591,negative
15,0.933,negative
5,1,negative
135,0.626,negative
21,0.85,negative
87,0.589,negative
8,1,negative
35,1,negative
14,0.847,negative
11,0.922,negative
13,0.835,negative
9,0.81,negative
41,0.777,negative
46,1,negative
20,0.757,negative
14,0.943,negative
262,0.606,negative
49,0.751,negative
21,0.728,negative
49,0.685,negative
23,0.944,negative
5,0.571,negative
37,0.706,negative
17,0.824,negative
11,0.712,negative
6,0.944,negative
214,0.748,negative
43,0.947,negative
56,0.617,negative
11,0.987,negative
33,0.848,negative
23,0.88,negative
23,1,negative
11,0.922,negative
20,0.871,negative
49,0.72,negative
38,0.55,negative
15,1,negative
66,0.924,negative
54,0.852,negative
49,0.791,negative
11,0.83,negative
36,0.96,negative
29,0.936,negative
11,0.961,negative
26,1,negative
9,0.968,negative
31,0.788,negative
9,0.952,negative
27,0.685,negative
4,1,negative
5,0.95,negative
5,1,negative
15,0.981,negative
37,1,negative
9,0.905,negative
11,1,negative
19,0.917,negative
8,0.893,negative
55,0.699,negative
29,0.946,negative
4,0.857,negative
14,0.98,negative
17,0.916,negative
38,0.639,negative
23,0.554,negative
41,0.661,negative
33,0.848,negative
4,1,negative
19,0.711,negative
49,0.694,negative
13,0.857,negative
13,0.978,negative
30,0.871,negative
14,1,negative
14,0.786,negative
18,0.968,negative
7,1,negative
26,0.929,negative
17,1,negative
9,0.796,negative
26,0.974,negative
5,1,negative
48,0.685,negative
31,0.853,negative
42,0.844,negative
46,0.745,negative
11,1,negative
21,0.778,negative
58,0.531,negative
49,0.653,negative
8,0.736,negative
22,0.934,negative
32,0.804,negative
19,0.673,negative
18,0.787,negative
15,0.838,negative
16,0.955,negative
32,0.913,negative
56,0.602,negative
16,0.922,negative
7,0.786,negative
33,0.813,negative
10,0.75,negative
25,0.787,negative
19,0.977,negative
29,0.889,negative
49,0.721,negative
13,0.934,negative
57,0.798,negative
54,0.778,negative
11,1,negative
24,0.661,negative
38,0.688,negative
23,0.816,negative
49,0.687,negative
43,0.807,negative
8,0.804,negative
19,0.977,negative
7,0.971,negative
6,1,negative
262,0.601,negative
17,0.79,negative
9,0.746,negative
40,0.971,negative
48,0.821,negative
25,0.88,negative
13,1,negative
16,1,negative
38,0.955,negative
7,1,negative
9,1,negative
47,0.781,negative
16,0.945,negative
6,0.813,negative
26,0.912,negative
65,0.786,negative
18,0.825,negative
21,0.643,negative
13,1,negative
93,0.538,negative
21,0.81,negative
27,0.175,negative
44,0.734,negative
19,0.624,negative
24,0.851,negative
39,0.853,negative
11,0.935,negative
15,0.886,negative
13,1,negative
4,1,negative
18,0.952,negative
13,0.835,negative
40,0.782,negative
47,0.773,negative
7,0.98,negative
11,0.974,negative
30,0.796,negative
20,0.879,negative
11,0.727,negative
23,0.845,negative
9,0.952,negative
13,0.934,negative
19,0.669,negative
28,0.814,negative
32,0.863,negative
24,0.95,negative
19,0.937,negative
54,0.741,negative
39,0.624,negative
57,0.659,negative
10,1,negative
32,0.83,negative
6,1,negative
21,1,negative
7,0.762,negative
5,0.829,negative
13,0.846,negative
9,0.857,negative
35,0.939,negative
14,0.969,negative
11,0.792,negative
20,1,negative
31,0.839,negative
23,0.677,negative
39,0.733,negative
7,0.878,negative
39,0.824,negative
54,0.799,negative
32,0.83,negative
51,0.784,negative
48,0.652,negative
13,0.989,negative
8,0.679,negative
17,0.891,negative
10,0.829,negative
11,0.909,negative
13,0.8,negative
11,0.955,negative
19,0.842,negative
14,0.786,negative
20,0.813,negative
26,0.872,negative
30,0.671,negative
10,0.925,negative
13,0.846,negative
39,0.853,negative
18,0.867,negative
16,0.76,negative
27,0.841,negative
8,0.786,negative
17,0.95,negative
11,0.922,negative
11,0.779,negative
23,0.783,negative
7,1,negative
8,0.875,negative
13,0.667,negative
16,0.705,negative
28,0.78,negative
34,0.584,negative
18,0.627,negative
11,0.727,negative
21,0.912,negative
14,0.755,negative
52,0.788,negative
14,1,negative
18,0.811,negative
36,0.961,negative
11,0.948,negative
29,0.747,negative
37,0.586,negative
16,0.92,negative
26,0.779,negative
11,0.727,negative
13,0.938,negative
7,1,negative
14,1,negative
30,0.886,negative
9,0.619,negative
16,0.955,negative
11,0.61,negative
27,1,negative
7,0.796,negative
21,0.789,negative
33,0.896,negative
17,0.908,negative
12,0.81,negative
19,0.94,negative
30,1,negative
8,0.768,negative
11,0.844,negative
24,0.588,negative
24,0.774,negative
20,0.75,negative
30,0.937,negative
19,0.895,negative
11,1,negative
16,0.634,negative
7,1,negative
22,0.714,negative
17,0.647,negative
33,0.564,negative
14,0.959,negative
18,0.976,negative
5,1,negative
41,0.774,negative
20,0.578,negative
6,1,negative
4,0.857,negative
14,0.98,negative
15,0.908,negative
21,0.714,negative
72,0.548,negative
21,0.748,negative
38,0.729,negative
11,0.935,negative
32,0.777,negative
36,0.873,negative
63,0.617,negative
43,0.85,negative
24,0.607,negative
19,0.684,negative
30,0.762,negative
7,0.898,negative
11,1,negative
28,0.77,negative
20,0.864,negative
14,0.827,negative
11,0.833,negative
19,0.904,negative
32,0.862,negative
10,0.85,negative
14,1,negative
24,0.468,negative
24,0.778,negative
11,0.97,negative
8,0.975,negative
20,1,negative
4,0.679,negative
51,0.871,negative
11,0.961,negative
44,0.673,negative
24,0.764,negative
38,0.748,negative
4,0.893,negative
25,0.806,negative
22,0.805,negative
21,0.912,negative
27,0.87,negative
13,0.835,negative
8,1,negative
33,0.987,negative
9,0.753,negative
11,0.778,negative
40,0.939,negative
11,1,negative
31,0.652,negative
38,0.463,negative
43,0.605,negative
7,1,negative
21,0.741,negative
11,0.974,negative
14,1,negative
13,0.91,negative
10,0.967,negative
6,0.967,negative
12,1,negative
49,0.649,negative
13,0.846,negative
11,0.955,negative
13,1,negative
16,0.672,negative
11,0.788,negative
30,0.8,negative
20,0.925,negative
22,0.977,negative
21,0.79,negative
29,0.613,negative
34,0.756,negative
6,0.976,negative
41,0.721,negative
46,0.994,negative
8,0.875,negative
14,1,negative
20,0.99,negative
20,0.5,negative
7,0.786,negative
17,0.603,negative
19,0.724,negative
19,0.849,negative
14,0.847,negative
16,1,negative
14,0.847,negative
11,0.896,negative
33,0.844,negative
36,0.937,negative
251,0.515,negative
6,0.643,negative
19,0.406,negative
15,0.833,negative
6,1,negative
17,0.908,negative
20,0.657,negative
24,0.708,negative
19,0.662,negative
7,0.857,negative
11,0.831,negative
42,0.571,negative
14,0.857,negative
22,0.883,negative
4,0.344,negative
11,1,negative
34,0.937,negative
6,1,negative
45,0.805,negative
16,0.973,negative
11,0.766,negative
74,0.683,negative
31,0.673,negative
11,0.961,negative
47,0.604,negative
56,0.829,negative
24,0.762,negative
40,0.659,negative
27,0.988,negative
44,0.689,negative
26,0.517,negative
20,0.85,negative
19,0.93,negative
25,1,negative
11,0.97,negative
16,0.768,negative
33,0.903,negative
37,0.457,negative
11,0.545,negative
17,0.582,negative
5,0.622,negative
26,0.626,negative
21,0.837,negative
11,0.818,negative
86,0.701,negative
33,0.879,negative
9,0.746,negative
11,0.737,negative
22,0.763,negative
47,0.717,negative
11,0.649,negative
19,0.729,negative
25,0.709,negative
207,0.771,negative
51,0.91,negative
26,0.679,negative
28,0.607,negative
13,0.782,negative
11,0.712,negative
30,0.667,negative
12,0.903,negative
11,1,negative
20,0.7,negative
43,0.801,negative
19,0.827,negative
41,0.808,negative
11,0.974,negative
15,1,negative
65,0.73,negative
11,0.961,negative
44,0.775,negative
7,0.959,negative
23,0.839,negative
7,1,negative
11,0.818,negative
6,1,negative
4,0.938,negative
17,0.859,negative
40,0.935,negative
38,0.833,negative
19,1,negative
18,0.714,negative
23,0.783,negative
7,1,negative
41,0.743,negative
24,0.912,negative
39,0.695,negative
52,0.718,negative
26,0.795,negative
45,0.708,negative
8,0.95,negative
12,0.983,negative
9,1,negative
48,0.557,negative
43,1,negative
40,0.729,negative
17,0.874,negative
34,0.493,negative
59,0.659,negative
91,0.731,negative
103,0.663,negative
13,0.923,negative
13,0.974,negative
32,1,negative
28,0.95,negative
6,1,negative
3,1,negative
23,0.938,negative
5,0.886,negative
13,0.885,negative
12,0.944,negative
18,0.71,negative
10,0.771,negative
11,0.948,negative
30,0.6,negative
33,0.753,negative
44,0.455,negative
157,0.54,negative
11,0.909,negative
19,0.789,negative
18,1,negative
16,1,negative
7,0.943,negative
4,0.8,negative
26,0.846,negative
35,0.939,negative
37,0.772,negative
48,0.738,negative
86,0.517,negative
4,1,negative
27,0.889,negative
15,0.829,negative
26,0.725,negative
20,0.593,negative
17,0.782,negative
82,0.562,negative
65,0.846,negative
92,0.641,negative
48,0.657,negative
52,0.959,negative
43,0.888,negative
4,0.7,negative
20,0.617,negative
14,0.619,negative
11,1,negative
13,0.901,negative
30,0.948,negative
31,0.682,negative
262,0.655,negative
36,0.671,negative
18,1,negative
11,1,negative
25,1,negative
33,0.957,negative
17,0.987,negative
6,1,negative
13,0.824,negative
18,0.841,negative
38,0.628,negative
262,0.703,negative
19,0.886,negative
32,0.994,negative
23,1,negative
5,0.72,negative
41,0.662,negative
10,0.814,negative
54,0.878,negative
16,0.819,negative
8,0.875,negative
11,0.987,negative
18,0.984,negative
53,0.677,negative
53,0.927,negative
107,0.842,negative
17,0.882,negative
32,0.797,negative
33,0.874,negative
16,0.715,negative
11,0.939,negative
25,0.911,negative
14,0.897,negative
14,0.898,negative
10,1,negative
50,0.691,negative
16,0.764,negative
23,0.826,negative
16,0.917,negative
18,0.981,negative
31,0.812,negative
68,0.672,negative
23,0.839,negative
41,0.872,negative
47,0.763,negative
20,0.942,negative
13,0.88,negative
55,0.697,negative
37,0.811,negative
9,0.841,negative
16,1,negative
17,0.899,negative
11,0.883,negative
25,0.891,negative
7,0.939,negative
14,0.786,negative
35,0.771,negative
23,0.891,negative
58,0.744,negative
11,0.891,negative
47,0.833,negative
7,1,negative
40,0.936,negative
8,0.953,negative
11,0.675,negative
13,0.868,negative
41,0.653,negative
18,0.929,negative
10,0.7,negative
41,0.725,negative
45,0.67,negative
201,0.456,negative
202,0.254,negative
9,0.956,negative
10,0.786,negative
19,0.643,negative
19,0.98,negative
42,0.563,negative
17,0.863,negative
7,0.929,negative
29,0.966,negative
184,0.659,negative
35,0.924,negative
5,0.867,negative
5,0.833,negative
32,0.981,negative
11,0.927,negative
33,0.909,negative
42,0.603,negative
7,0.778,negative
39,0.698,negative
8,0.786,negative
4,0.679,negative
31,0.71,negative
54,0.734,negative
18,0.881,negative
11,0.922,negative
54,0.876,negative
13,0.978,negative
23,1,negative
31,0.843,negative
23,0.876,negative
10,0.55,negative
20,0.975,negative
3,0.933,negative
10,1,negative
21,0.857,negative
29,0.783,negative
13,0.824,negative
53,0.591,negative
44,0.604,negative
10,0.813,negative
19,0.662,negative
20,0.967,negative
7,0.592,negative
29,0.502,negative
4,0.75,negative
44,0.811,negative
6,0.9,negative
43,0.819,negative
398,0.664,negative
10,0.85,negative
65,1,positive
39,0.546,negative
15,0.783,negative
20,0.725,negative
19,0.724,negative
46,0.611,negative
9,0.792,negative
48,0.737,negative
12,0.738,negative
7,1,negative
8,0.768,negative
9,0.639,negative
9,0.683,negative
6,0.519,positive
25,0.629,negative
8,1,negative
10,1,negative
36,0.707,negative
12,0.885,negative
17,0.908,negative
35,0.825,negative
34,0.941,negative
28,0.759,negative
7,1,negative
12,0.583,positive
18,0.377,positive
9,0.889,negative
10,0.888,negative
13,0.981,negative
43,0.945,negative
29,0.855,negative
12,0.867,negative
33,0.852,negative
12,1,negative
18,0.889,negative
25,0.648,negative
6,0.833,negative
17,0.387,positive
22,0.473,positive
4,0.531,positive
271,0.559,negative
1,1,positive
21,0.515,positive
9,1,negative
43,0.939,negative
5,0.538,positive
26,0.851,negative
16,0.875,negative
10,0.988,negative
13,0.99,negative
16,0.867,negative
37,0.694,negative
30,0.788,negative
11,0.494,positive
8,0.938,negative
48,0.437,positive
48,0.364,positive
271,0.615,negative
48,0.374,positive
9,0.903,negative
25,0.615,negative
42,0.76,negative
7,1,negative
19,1,negative
35,0.996,negative
20,1,negative
13,0.933,negative
23,0.774,negative
30,1,negative
48,0.268,positive
57,0.719,negative
59,0.829,negative
4,0.875,negative
79,0.671,negative
36,0.958,negative
11,1,negative
4,0.667,positive
32,0.895,negative
27,0.918,negative
12,1,negative
17,0.935,negative
34,0.872,negative
60,0.788,negative
12,0.938,negative
42,0.862,negative
9,0.736,negative
36,0.875,negative
23,0.894,negative
13,0.798,negative
29,0.834,negative
22,0.784,negative
19,0.98,negative
16,0.946,negative
39,0.729,negative
16,0.938,negative
4,0.643,positive
47,0.112,positive
271,0.571,negative
46,0.304,positive
9,0.556,positive
46,0.554,positive
15,0.752,negative
94,0.675,negative
141,0.977,negative
127,1,positive
13,1,positive
22,0.731,negative
16,1,negative
15,0.963,negative
46,0.84,negative
9,0.722,negative
19,0.9,negative
32,0.994,negative
33,0.982,negative
4,0.9,negative
17,1,negative
6,1,negative
129,0.377,positive
7,0.314,positive
13,0.308,negative
9,0.667,negative
13,0.551,negative
5,0.554,positive
91,0.773,negative
6,0.854,negative
14,1,negative
24,0.917,negative
116,0.88,negative
9,0.436,positive
9,0.914,negative
12,0.852,negative
19,0.816,negative
18,0.877,negative
35,1,negative
9,0.958,negative
25,0.836,negative
42,0.955,negative
23,0.94,negative
10,0.988,negative
4,0.594,positive
18,0.991,negative
9,0.497,positive
15,0.844,negative
19,0.704,negative
4,0.65,positive
39,0.711,negative
19,0.868,negative
4,1,negative
25,0.904,negative
27,0.744,negative
31,0.992,negative
27,0.809,negative
4,0.75,positive
13,0.923,negative
4,1,positive
5,1,positive
32,0.797,negative
6,0.792,negative
12,0.802,negative
33,0.758,negative
23,0.783,negative
12,0.958,negative
18,0.817,negative
18,0.617,negative
34,0.765,negative
35,0.711,negative
13,0.449,positive
11,0.932,positive
20,0.9,negative
36,1,negative
30,0.6,negative
48,0.264,positive
48,0.269,positive
48,0.248,positive
52,0.605,negative
87,0.662,negative
59,0.69,negative
49,0.742,negative
4,0.75,positive
26,0.85,negative
56,0.931,negative
47,0.905,negative
9,0.877,negative
4,0.861,negative
25,0.84,negative
38,0.874,negative
10,0.925,negative
14,0.976,negative
1,1,positive
12,0.977,negative
45,0.733,negative
43,0.982,negative
25,0.938,negative
41,0.832,negative
30,0.78,negative
15,1,negative
12,0.885,negative
6,0.917,negative
84,0.679,negative
53,0.906,negative
56,0.942,negative
12,0.896,negative
47,0.757,negative
1,1,positive
134,0.777,negative
36,0.844,negative
79,0.713,negative
8,0.917,negative
47,0.202,positive
19,0.382,positive
272,0.743,negative
47,1,positive
86,1,positive
17,1,positive
19,1,positive
271,0.689,negative
21,0.911,negative
30,0.983,negative
11,0.818,negative
240,0.714,negative
11,0.927,negative
9,0.889,negative
29,0.752,negative
28,0.996,negative
15,0.992,negative
7,1,negative
29,0.996,negative
8,0.781,negative
22,0.596,negative
18,0.981,negative
244,0.801,negative
23,0.764,negative
12,0.719,negative
37,0.753,negative
9,0.986,negative
34,0.985,negative
22,0.614,negative
25,0.73,negative
272,0.763,negative
14,0.848,negative
16,0.93,negative
35,0.835,negative
15,0.867,negative
25,0.755,negative
10,0.825,negative
12,0.802,negative
36,0.673,negative
4,1,negative
31,1,negative
4,0.792,negative
271,0.615,negative
272,0.681,negative
1,1,negative
25,0.73,negative
32,0.767,negative
21,1,negative
10,0.913,negative
31,0.742,negative
49,0.997,negative
23,0.989,negative
18,0.931,negative
12,1,negative
27,0.856,negative
14,0.768,negative
12,0.792,negative
32,0.688,negative
25,0.707,negative
86,0.748,negative
12,0.927,negative
17,0.748,negative
98,0.602,negative
50,0.74,negative
28,0.657,negative
37,0.655,negative
51,0.743,negative
6,0.813,negative
8,1,negative
5,1,negative
44,0.818,negative
38,0.747,negative
25,0.909,negative
51,0.841,negative
35,0.806,negative
12,0.844,negative
35,0.929,negative
38,0.846,negative
25,0.815,negative
7,1,negative
4,1,negative
14,0.67,negative
16,0.743,negative
31,0.83,negative
20,0.87,negative
19,0.83,negative
25,0.68,negative
16,0.68,negative
52,0.827,negative
36,1,negative
24,0.818,negative
17,0.735,negative
13,0.99,negative
53,0.884,negative
47,0.698,negative
31,0.991,negative
5,0.8,negative
18,1,negative
4,0.8,negative
150,0.533,negative
202,0.689,negative
272,0.602,negative
185,0.826,negative
82,0.991,negative
13,0.783,negative
12,0.938,negative
38,0.803,negative
10,0.913,negative
12,0.896,negative
13,0.823,negative
16,0.828,negative
16,1,negative
9,0.958,negative
4,0.719,negative
18,0.944,negative
26,0.978,negative
7,0.886,negative
4,0.85,negative
271,0.728,negative
240,0.634,negative
26,0.654,negative
272,0.68,negative
17,0.941,negative
17,1,negative
48,0.863,negative
47,0.891,negative
8,1,negative
27,0.963,negative
20,0.728,negative
13,0.913,negative
34,0.706,negative
15,0.975,negative
26,1,negative
67,0.81,negative
23,0.831,negative
36,0.924,negative
12,0.948,negative
25,0.808,negative
272,0.703,negative
33,0.995,negative
20,0.7,negative
29,0.966,negative
19,0.912,negative
20,1,negative
18,0.896,negative
7,0.875,negative
13,0.913,negative
34,0.744,negative
15,1,negative
261,0.644,negative
34,0.783,negative
32,0.815,negative
12,0.818,negative
26,0.88,negative
16,0.792,negative
36,0.79,negative
64,0.694,negative
245,0.829,negative
21,0.81,negative
14,1,negative
36,0.991,negative
51,0.824,negative
73,0.844,negative
21,0.786,negative
27,1,negative
60,0.608,negative
14,1,negative
54,0.736,negative
7,0.768,negative
91,0.597,negative
14,0.973,negative
7,1,negative
12,0.927,negative
21,0.994,negative
18,0.882,negative
9,1,negative
24,0.795,negative
39,0.933,negative
12,1,negative
30,0.783,negative
8,1,negative
12,1,negative
26,1,negative
16,0.891,negative
52,0.858,negative
25,0.931,negative
32,0.816,negative
26,0.942,negative
28,0.8,negative
19,0.911,negative
18,1,negative
43,0.713,negative
7,0.886,negative
32,0.964,negative
8,0.958,negative
213,0.698,negative
53,0.889,negative
271,0.548,negative
96,0.68,negative
30,0.94,negative
76,0.688,negative
16,0.859,negative
34,0.925,negative
61,0.735,negative
19,1,negative
50,0.764,negative
27,0.804,negative
64,0.4,negative
55,0.645,negative
8,0.922,negative
12,0.938,negative
69,0.897,negative
14,0.759,negative
22,1,negative
21,0.964,negative
47,0.753,negative
15,0.829,negative
15,0.891,negative
19,1,negative
61,0.952,negative
50,0.868,negative
36,0.995,negative
22,1,negative
36,0.817,negative
26,0.821,negative
7,0.937,negative
24,0.722,negative
22,0.915,negative
31,1,negative
50,0.56,negative
54,0.817,negative
12,0.889,negative
41,0.734,negative
7,0.986,negative
52,0.802,negative
8,1,negative
12,0.75,negative
7,1,negative
12,0.896,negative
16,1,negative
16,0.93,negative
26,0.976,negative
69,0.68,negative
122,0.656,negative
145,0.724,negative
272,0.681,negative
49,0.773,negative
7,1,negative
18,0.901,negative
12,0.969,negative
42,1,negative
59,0.821,negative
54,0.824,negative
126,0.649,negative
