Region_centroid_row,Exred_mean,Exgreen_mean,Saturatoin_mean,field19
178,-21.555555,-25.222221,0.31899637,negative
41,-33.444443,-16.777779,0.19934683,negative
173,-12.111111,-15.777778,0.26691392,negative
130,-2.6666667,-2.3333333,1,negative
197,-16.11111,-19.777779,0.30292457,negative
185,-12,-18.666666,0.2758892,negative
229,-10.888889,10.444445,0.3357168,negative
111,4.4444447,-7.2222223,0.56415343,positive
81,-22,-5.6666665,0.5952822,negative
85,-3,-17,0.43740398,positive
83,-9.555555,-10.555555,0.30741498,negative
153,-1.1111112,-1.1111112,0.8888889,negative
141,-0.11111111,-0.11111111,0.11111111,negative
220,-2.3333333,5.6666665,0.42735383,negative
197,-21,-22.666666,0.28533262,negative
115,-2.3333333,-2.6666667,0.93333334,negative
51,-2.4444444,-15.777778,0.44286063,positive
182,-16.444445,-23.11111,0.3067216,negative
120,-9.222222,-16.222221,0.2453213,negative
97,-5.888889,-13.222222,0.19711515,negative
145,-0.6666667,-1.3333334,0.5277778,negative
128,5.888889,-7.4444447,0.56371254,positive
134,-11.888889,-3.8888888,0.8339346,negative
58,-8.333333,-9,0.62222224,negative
237,-4.6666665,9.333333,0.5538119,negative
28,-40.555557,-13.888889,0.24151142,negative
120,-4.7777777,-2.1111112,1,negative
210,-17.555555,-21.555555,0.3175664,negative
62,-28.555555,-22.222221,0.20801263,negative
83,-16.11111,-8.777778,0.6647845,negative
246,-9.888889,16.11111,0.39154765,negative
140,-3.7777777,-5.4444447,0.79788357,negative
142,-2.7777777,-2.7777777,0.76944447,negative
146,-13.777778,-11.111111,0.43278608,negative
236,-8.888889,14.111111,0.44724658,negative
249,-11.888889,10.111111,0.40621215,negative
173,-8.333333,16.666666,0.34965578,negative
122,4.3333335,-7.6666665,0.5813492,positive
145,-3.2222223,-3.8888888,0.65661377,negative
146,-0.11111111,-0.11111111,0.11111111,negative
246,-14.333333,24.666666,0.38897294,negative
40,-0.11111111,-0.7777778,0.11666667,negative
157,-13.333333,16.666666,0.41818407,negative
249,-8.888889,16.11111,0.5333069,negative
125,-3.4444444,-2.4444444,1,negative
152,-1.5555556,-2.5555556,0.64867723,negative
92,-13.555555,-11.888889,0.6321268,negative
201,-20.222221,-24.222221,0.29921305,negative
117,-3.2222223,-2.8888888,1,negative
85,-13.888889,-6.2222223,0.7741213,negative
60,-6.2222223,-19.222221,0.4223002,positive
115,-10.555555,-8.888889,0.33914888,negative
11,-19.333334,-6.3333335,0.09983583,negative
209,-6.5555553,13.111111,0.40790388,negative
199,-19.666666,-22.666666,0.31241447,negative
41,-0.44444445,-1.1111112,0.537037,negative
140,-9,-8.666667,0.2850997,negative
146,0,0,0,negative
94,-18.88889,-24.222221,0.17678948,negative
107,-10.777778,-14.777778,0.23045462,negative
176,-14,-22,0.30857325,negative
103,-15.777778,-20.777779,0.25960675,negative
136,-19.555555,-9.888889,0.66081303,negative
58,-8.555555,-8.555555,0.6077675,negative
101,0.7777778,-15.555555,0.40403765,positive
224,-10.555555,16.11111,0.4433746,negative
13,-29,-10,0.1565683,negative
90,-22.555555,-21.222221,0.27834544,negative
58,-8.333333,-9,0.62222224,negative
89,-2,-16.333334,0.40368655,positive
182,-16.88889,-22.222221,0.30405003,negative
120,-16.88889,-9.888889,0.5621582,negative
42,-14,-17,0.3346618,negative
130,0,0,0,negative
140,-13.666667,-3.3333333,0.73447025,negative
120,-5.111111,-2.4444444,0.962963,negative
72,-42.666668,-28.333334,0.3234209,negative
88,0.8888889,-16.444445,0.40511805,positive
180,-12,14.666667,0.3273826,negative
120,-4.6666665,-15.666667,0.39486286,positive
124,-6.888889,-3.8888888,0.97376543,negative
81,-21.777779,-26.11111,0.19307978,negative
138,5.4444447,-6.888889,0.603836,positive
130,4.4444447,-7.5555553,0.5701058,positive
182,-11.111111,-18.777779,0.28764573,negative
238,-7.7777777,14.888889,0.59701496,negative
138,-4.2222223,-2.8888888,1,negative
84,-4.6666665,-4,0.38048342,negative
196,-16.444445,-17.444445,0.29423782,negative
87,-16.333334,-18.333334,0.319706,negative
210,-16.555555,-20.88889,0.3142778,negative
41,-19.444445,-10.777778,0.112421244,negative
114,2,-7.6666665,0.6031746,positive
123,-3.5555556,-2.8888888,1,negative
157,-14.777778,-11.777778,0.43023896,negative
161,-9.888889,14.111111,0.39095718,negative
188,-18.333334,-21.666666,0.29629385,negative
142,6.3333335,-7,0.662037,positive
72,-8.777778,-19.11111,0.4368953,positive
107,-14.888889,-12.222222,0.5471734,negative
125,3.4444444,-7.888889,0.5456349,positive
13,-32.22222,-12.888889,0.17719091,negative
107,-5.6666665,-3.6666667,0.94708997,negative
85,2.7777777,-14.555555,0.39975148,positive
250,-8,13.666667,0.5633903,negative
128,-20.777779,-20.777779,0.31292745,negative
143,4.5555553,-7.111111,0.5952381,positive
64,-4,-14.666667,0.44109204,positive
134,-19.11111,-13.111111,0.45775157,negative
121,-10.777778,-14.444445,0.28057775,negative
42,-39.77778,-12.111111,0.24193405,negative
130,-3.7777777,-2.1111112,0.9777778,negative
71,-27,-23.333334,0.21226363,negative
192,-18.333334,-16.333334,0.27272084,negative
167,-5.111111,7.5555553,0.24844901,negative
75,-2.2222223,-17.555555,0.4235012,positive
119,-0.7777778,-16.444445,0.40821064,positive
116,-12.222222,-10.555555,0.39566323,negative
108,-24.11111,-9.777778,0.35897508,negative
118,-10.666667,-11.333333,0.29394883,negative
42,-15,-13.666667,0.27157217,negative
131,4.4444447,-6.888889,0.56613755,positive
28,-37.77778,-24.11111,0.25329855,negative
125,-5.111111,-11.777778,0.19248421,negative
125,-11.111111,-15.777778,0.27063802,negative
120,-25.555555,-16.555555,0.6812664,negative
64,-19,-2,0.40074632,negative
95,-2.5555556,-6.888889,0.51256585,negative
19,-21.555555,-19.222221,0.35522667,negative
108,-24.11111,-9.777778,0.35897508,negative
220,-9.222222,13.777778,0.41670507,negative
109,5.888889,-14.111111,0.38499743,positive
89,-6.3333335,-7.3333335,0.548545,negative
111,-25.11111,-11.111111,0.67951304,negative
123,4.4444447,-8.222222,0.5244709,positive
61,-7.2222223,-8.222222,0.64589113,negative
169,-6.4444447,15.555555,0.46356925,negative
96,-8,-4.6666665,0.91006523,negative
81,-1.1111112,-15.777778,0.41266233,positive
184,-10.333333,-17.333334,0.2758183,negative
136,-11.666667,-4,0.6950877,negative
123,-10.888889,-10.222222,0.4089133,negative
19,-32.88889,-13.888889,0.1855386,negative
35,-34.22222,-14.222222,0.19485293,negative
211,-10.555555,15.444445,0.37555233,negative
163,-16.333334,-7.6666665,0.2638465,negative
154,0,0,0,negative
175,-21.222221,-23.555555,0.31283396,negative
75,-49.666668,-32.333332,0.37868166,negative
190,-18.777779,-21.11111,0.3036015,negative
113,-10.444445,-8.444445,0.3500821,negative
128,-8.555555,-4.2222223,0.8047243,negative
194,-12.555555,-14.888889,0.28055963,negative
229,-7.888889,11.111111,0.3476919,negative
57,-4.888889,-19.555555,0.42569095,positive
183,-8.444445,-12.111111,0.2664361,negative
200,-20.777779,-25.444445,0.31254068,negative
188,-18.444445,-24.777779,0.3002418,negative
117,-16.444445,-15.777778,0.33502588,negative
120,-11.666667,-13.666667,0.2727516,negative
208,-11.111111,15.888889,0.36886615,negative
172,-13,-13.666667,0.26545405,negative
38,-24,-25,0.33601543,negative
125,-7.111111,-4.4444447,0.85319865,negative
154,-1.4444444,-2.1111112,1,negative
15,-19.222221,-8.555555,0.10463921,negative
46,-30.11111,-14.777778,0.17719495,negative
135,-12.444445,-12.444445,0.30882394,negative
102,-16.444445,-21.444445,0.30700684,negative
158,-4.888889,-6.888889,0.5205782,negative
13,-14.111111,-7.111111,0.07980576,negative
85,-19.333334,-18.666666,0.31522787,negative
39,-6.5555553,-7.888889,0.5760211,negative
95,-7.111111,-5.7777777,0.9195971,negative
92,-11.666667,-6.3333335,0.56489813,negative
182,-8.888889,-14.222222,0.29320765,negative
184,-6.2222223,12.111111,0.40555555,negative
32,-38.666668,-11,0.22074823,negative
61,-7.6666665,-8.333333,0.66625965,negative
107,-11.444445,-6.111111,0.69722587,negative
189,-8.222222,-10.222222,0.2712077,negative
146,1.6666666,-6.6666665,0.5714286,positive
129,-13.444445,-13.777778,0.3384073,negative
193,-23.222221,-22.222221,0.29957896,negative
68,-32,-25.333334,0.23914346,negative
52,-31.88889,-20.88889,0.21837935,negative
202,-20.444445,-22.777779,0.2978795,negative
94,-2.8888888,-3.2222223,0.9777778,negative
87,-24.777779,-24.11111,0.30969977,negative
92,-3.3333333,-17.333334,0.422223,positive
153,-1.1111112,-0.44444445,0.08501683,negative
194,-10.666667,11,0.35213172,negative
174,-11.888889,15.777778,0.38186744,negative
111,2.8888888,-7.7777777,0.56291884,positive
147,-1.4444444,-7.111111,0.6984448,positive
53,-19.666666,-13.333333,0.12111875,negative
100,-3.3333333,-1.3333334,0.9777778,negative
216,-11,13.666667,0.43169576,negative
25,-29.333334,-26.333334,0.3181906,negative
63,-7.888889,-7.2222223,0.54770046,negative
94,-15.222222,-12.555555,0.57665956,negative
94,-2.8888888,-3.2222223,0.9777778,negative
183,-15.444445,-22.11111,0.2986217,negative
131,0,0,0,negative
75,-7.888889,-18.555555,0.4296633,positive
85,-36.77778,-27.777779,0.2754667,negative
169,-11.444445,14.222222,0.40075645,negative
205,-18.88889,-22.222221,0.30391166,negative
187,-6.2222223,16.444445,0.46332908,negative
116,-1.4444444,-16.11111,0.40736422,positive
191,-5.2222223,-8.555555,0.2371126,negative
94,-6.4444447,-4.7777777,0.9861111,negative
226,-9.777778,14.555555,0.44245604,negative
31,-39.22222,-13.555555,0.23132005,negative
143,-1.2222222,-1.2222222,0.7777778,negative
144,-0.33333334,-0.6666667,0.37037036,negative
137,-3,-3.3333333,0.91798943,negative
118,3.6666667,-7.3333335,0.61706346,positive
189,-12,-14,0.30988368,negative
111,-11.333333,-9.333333,0.40922624,negative
139,-1.3333334,-1.3333334,0.7777778,negative
87,-24.777779,-24.11111,0.30969977,negative
86,-13.666667,-12.666667,0.63092834,negative
83,0.33333334,-15.333333,0.41007325,positive
57,-31,-12,0.17560509,negative
95,-14.222222,-3.5555556,0.6989016,negative
94,-12.666667,-13,0.45154575,negative
127,-16.444445,-13.777778,0.6014436,negative
78,-14.333333,-15.333333,0.33970988,negative
109,4.3333335,-14,0.37602362,positive
173,-20.666666,-23.666666,0.3183665,negative
151,-0.33333334,-0.33333334,0.22222222,negative
60,-29,-15,0.17584375,negative
36,0,0,0,negative
162,-17.222221,-10.222222,0.28552282,negative
40,0,0,0,negative
232,-5.111111,16.222221,0.50096595,negative
144,-3,-3,1,negative
187,-6.888889,12.777778,0.42836255,negative
141,-0.11111111,-0.11111111,0.11111111,negative
200,-19.11111,-23.11111,0.30018097,negative
113,-13.333333,-9.666667,0.32738453,negative
51,-28,-13.666667,0.1655495,negative
146,-7.7777777,-7.4444447,0.48786426,negative
120,-2.7777777,-2.7777777,1,negative
129,-16.777779,-13.777778,0.44974732,negative
136,-4.6666665,-5,0.84708995,negative
36,-8.777778,-8.444445,0.63492066,negative
193,-11.444445,-15.444445,0.27838665,negative
196,-16.666666,-18,0.2899971,negative
85,2.7777777,-14.555555,0.39975148,positive
175,-15.222222,15.111111,0.35148725,negative
78,-8.111111,-16.11111,0.25891644,negative
155,-10.555555,-8.222222,0.74729437,negative
185,-7.888889,10.777778,0.4351852,negative
30,-6.7777777,-7.111111,0.6137184,negative
13,-17.777779,-8.777778,0.099060155,negative
202,-21.333334,-21.333334,0.30251354,negative
98,-10.333333,-3.3333333,0.89084005,negative
155,-7.111111,-6.111111,0.3006237,negative
46,-18.222221,-11.888889,0.11065291,negative
122,-1,-1,1,negative
142,-6.5555553,-3.5555556,0.8135803,negative
184,-14.111111,-21.11111,0.30094525,negative
73,-1.8888888,-12.555555,0.1761556,negative
93,-4.3333335,-4.6666665,0.8783951,negative
146,-7.7777777,-7.4444447,0.48786426,negative
38,-19.222221,-22.222221,0.27165923,negative
107,-10.222222,-4.888889,0.7305922,negative
176,-19.666666,-22.333334,0.3181372,negative
204,-19.333334,-23,0.30252522,negative
35,-30.333334,-14.666667,0.17608316,negative
44,-4.2222223,-15.222222,0.45768142,positive
83,-11.555555,-17.555555,0.26060534,negative
182,-9.888889,-17.222221,0.2807636,negative
139,-20.333334,-22,0.27568987,negative
195,-20.777779,-24.444445,0.30559286,negative
13,-36.333332,-15,0.21508773,negative
115,-6.4444447,-2.4444444,0.91798943,negative
225,-5.2222223,15.444445,0.40115124,negative
144,3.5555556,-6.4444447,0.5746032,positive
46,-41.22222,-13.555555,0.24072178,negative
189,-21.222221,-20.88889,0.29552308,negative
189,-8.222222,17.777779,0.41042024,negative
94,-9.666667,-8.666667,0.6197129,negative
43,-28.777779,-16.11111,0.17494753,negative
17,-24.222221,-23.88889,0.28623843,negative
49,-7.111111,-11.111111,0.22118697,negative
20,-39.77778,-13.777778,0.24010754,negative
77,-22.11111,-12.111111,0.12738518,negative
109,-20.555555,-19.88889,0.32513812,negative
191,-23.666666,-26,0.31752294,negative
108,-11.111111,-9.111111,0.36533174,negative
114,-18.11111,-12.777778,0.4005362,negative
184,-12.666667,16.333334,0.3882103,negative
235,-7.2222223,10.777778,0.48219234,negative
233,-11.111111,13.222222,0.47822163,negative
133,-5.111111,-5.7777777,0.6304714,negative
204,-18.333334,-21.666666,0.29685017,negative
167,-7.2222223,-0.8888889,0.31450674,negative
247,-6.3333335,13,0.5634669,negative
197,-17,-18.666666,0.29632849,negative
181,-12.111111,15.555555,0.36658052,negative
33,-33.666668,-14,0.19121477,negative
140,-0.7777778,-1.7777778,0.8148148,negative
47,-41.666668,-23.333334,0.2759571,negative
113,4.111111,-7.5555553,0.56613755,positive
196,-16.88889,-16.222221,0.29404518,negative
134,-5.5555553,-4.888889,0.8292328,negative
70,-10.555555,-14.555555,0.27405116,negative
13,-29.11111,-24.11111,0.3114367,negative
188,-15.555555,-20.222221,0.3004298,negative
192,-3.8888888,11.444445,0.47623578,negative
68,-8.888889,-20.222221,0.4456523,positive
187,-14.444445,-19.777779,0.2973408,negative
242,-9.222222,12.111111,0.45454717,negative
162,-19,-10.333333,0.2984709,negative
227,-11.555555,10.111111,0.42550126,negative
215,-17.777779,19.222221,0.42076695,negative
182,-17.555555,-24.88889,0.3112005,negative
122,4.111111,-7.2222223,0.5515873,positive
68,-14.333333,-20,0.26505277,negative
207,-7.7777777,13.222222,0.43238926,negative
30,-40.88889,-13.555555,0.24233662,negative
101,-0.22222222,-16.222221,0.4047922,positive
126,5,-8,0.5813492,positive
235,-10,14.666667,0.5203994,negative
212,-6.111111,9.888889,0.51339465,negative
180,-20.555555,-25.555555,0.31801003,negative
117,2.6666667,-8,0.53858024,positive
130,-9.444445,-8.111111,0.5481241,negative
181,-7.5555553,12.777778,0.28569087,negative
121,4.7777777,-7.888889,0.5282187,positive
90,-18.555555,-14.222222,0.4967188,negative
133,-10.888889,-9.555555,0.62726945,negative
244,-9.777778,13.222222,0.44603544,negative
149,0,0,0,negative
90,-1.8888888,-17.555555,0.4204864,positive
62,-7,-8,0.6703704,negative
95,-0.22222222,-15.555555,0.39043593,positive
116,3,-7.6666665,0.54473305,positive
34,-42.77778,-22.777779,0.28352436,negative
138,-11.888889,-9.222222,0.6152501,negative
219,-7.4444447,11.555555,0.37191358,negative
240,-9.777778,13.222222,0.42162097,negative
104,-7.5555553,-6.888889,0.31471258,negative
83,-14.666667,-11.333333,0.50381,negative
63,-2.5555556,-14.222222,0.43502074,positive
218,-9.111111,12.222222,0.40134683,negative
101,-25.444445,-11.444445,0.14110672,negative
44,-14.777778,-15.777778,0.27198678,negative
133,0,0,0,negative
145,-10.666667,-9.333333,0.53272784,negative
181,-10.444445,-14.444445,0.2656194,negative
57,-33,-17,0.19892381,negative
117,-19,-18.666666,0.33047688,negative
189,-16,-20.666666,0.30134642,negative
18,-44.666668,-10.333333,0.2546684,negative
65,-43.666668,-27.666666,0.316474,negative
45,-4.111111,-16.444445,0.42816728,positive
51,-40.555557,-14.222222,0.25013667,negative
236,-4.888889,9.777778,0.37655354,negative
102,-12.777778,-4.7777777,0.5751263,negative
14,-41.22222,-12.555555,0.24229442,negative
201,-20.333334,-23.666666,0.3066086,negative
114,-5.2222223,-3.2222223,0.984127,negative
187,-12,19.333334,0.43121487,negative
163,-16.333334,-7.6666665,0.2638465,negative
89,-6.5555553,-5.888889,0.9861111,negative
90,-7.111111,-7.4444447,0.79721206,negative
40,-32.77778,-16.777779,0.19366461,negative
129,-1.5555556,-1.5555556,0.7777778,negative
81,-22.666666,-22.333334,0.30741948,negative
27,-16.555555,-8.888889,0.09626316,negative
188,-21.88889,-22.88889,0.30013013,negative
177,-13.333333,-21.333334,0.30596185,negative
49,-29.555555,-17.222221,0.1794131,negative
120,5.4444447,-7.888889,0.5694444,positive
223,-9.888889,19.11111,0.43312526,negative
186,-14.111111,-20.777779,0.30702683,negative
182,-10,-18,0.28187475,negative
186,-5.111111,16.555555,0.44266057,negative
76,-13.444445,-1.7777778,0.7230108,negative
138,-0.5555556,-0.5555556,0.09259259,negative
14,-41.11111,-13.777778,0.24216007,negative
92,-2,-17.666666,0.4143562,positive
115,-22.777779,-16.11111,0.5235376,negative
193,-17.333334,-19,0.30314395,negative
80,-1.4444444,-18.777779,0.4120944,positive
91,-1.4444444,-17.444445,0.420716,positive
19,-39.77778,-14.444445,0.23673333,negative
88,-27.11111,-23.777779,0.2046753,negative
113,3.2222223,-8.111111,0.56349206,positive
147,-0.22222222,-0.22222222,0.11111111,negative
25,-15.777778,-14.777778,0.2845817,negative
75,-22.666666,-8.666667,0.29780185,negative
59,-3.1111112,-17.777779,0.44514215,positive
89,-38.88889,-19.222221,0.25774616,negative
94,-13.666667,-13.333333,0.4521822,negative
195,-19.88889,-24.555555,0.30023456,negative
147,-3.7777777,-2.7777777,0.3494709,negative
208,-10.222222,13.777778,0.3831675,negative
79,-10.222222,-14.555555,0.2655346,negative
73,-30.222221,-14.888889,0.17863557,negative
67,-31.666666,-15,0.18855007,negative
88,-2.4444444,-16.444445,0.41330814,positive
192,-15.555555,-19.555555,0.3074729,negative
125,-18.333334,-23,0.2575994,negative
238,-7.5555553,16.444445,0.46145898,negative
128,4,-7.3333335,0.56150794,positive
137,-2.4444444,-2.7777777,1,negative
69,-13.777778,-2.7777777,0.5089938,negative
98,-9.555555,-5.2222223,0.8721458,negative
63,-6.2222223,-7.2222223,0.65353537,negative
42,-19.88889,-11.222222,0.115302496,negative
111,2.8888888,-7.7777777,0.56291884,positive
57,-43.77778,-25.11111,0.3088128,negative
137,-2.3333333,-2,1,negative
113,-32.333332,-16.666666,0.62207055,negative
196,-16.777779,-20.777779,0.29762968,negative
182,-7.6666665,-9.333333,0.25607783,negative
96,-3.1111112,-14.444445,0.17457852,negative
112,-12.222222,-10.888889,0.492526,negative
127,-8.222222,-14.222222,0.24899939,negative
210,-11.111111,15.555555,0.40393806,negative
232,-10.444445,13.888889,0.42348316,negative
219,-8.666667,17.666666,0.49459508,negative
114,5.3333335,-14,0.39369074,positive
81,-26.444445,-14.444445,0.42017567,negative
89,-12,-10.666667,0.47748852,negative
169,-11,8.333333,0.32496518,negative
128,5.5555553,-6.7777777,0.59391534,positive
141,0,0,0,negative
83,-48.22222,-30.555555,0.36206177,negative
188,-11,-13,0.29986525,negative
169,-13.444445,16.222221,0.3961213,negative
134,4.111111,-7.2222223,0.5299824,positive
108,-13.111111,-16.444445,0.27598566,negative
170,-13.333333,15.333333,0.38746688,negative
195,-4.7777777,12.888889,0.34230694,negative
149,-5.888889,-7.2222223,0.57870835,positive
209,-17.333334,-18.666666,0.30298224,negative
143,-22.11111,-21.11111,0.3412286,negative
45,-42.333332,-26,0.29741433,negative
128,-21.777779,-21.11111,0.34023675,negative
113,7.2222223,-13.777778,0.4513593,positive
201,-19.777779,-20.777779,0.30885938,negative
81,-10.444445,-15.444445,0.26725134,negative
147,-18,-20,0.30910617,negative
190,-18.555555,-17.88889,0.29895782,negative
155,-6.2222223,-6.2222223,0.3923854,negative
115,-19.11111,-12.777778,0.42149335,negative
93,-46.88889,-30.555555,0.36963773,negative
66,-4.2222223,-17.555555,0.43824613,positive
186,-13.222222,-21.555555,0.3072572,negative
140,-8.333333,-9.333333,0.26620623,negative
134,-1.5555556,-1.5555556,1,negative
134,-3.1111112,-3.1111112,1,negative
161,-16.444445,-12.444445,0.29470626,negative
181,-8.222222,15.444445,0.38555545,negative
119,-25.11111,-14.111111,0.6356236,negative
117,-7.6666665,-10,0.40220302,negative
40,-4.5555553,-13.888889,0.4630599,positive
56,-30.333334,-13.666667,0.17606053,negative
120,-4.3333335,-3.3333333,1,negative
57,-31.11111,-28.11111,0.33538663,negative
80,-25.333334,-7,0.28962377,negative
195,-17.333334,-21.666666,0.28835976,negative
203,-17.555555,-20.222221,0.28979304,negative
146,-18.777779,-19.444445,0.34745374,negative
58,-31.333334,-12,0.1809723,negative
129,-12.333333,-16.666666,0.24809188,negative
140,4.3333335,-7,0.5138889,positive
54,-37.22222,-15.222222,0.23450433,negative
131,-2,-4.3333335,0.9722222,negative
101,-0.22222222,-16.222221,0.4047922,positive
187,-18.333334,-23.333334,0.29855335,negative
64,-14.333333,-16,0.31010145,negative
78,-9.555555,-11.888889,0.30020806,negative
94,-12.666667,-13,0.45154575,negative
100,-15.111111,-19.444445,0.26862052,negative
147,0,0,0,negative
71,-31.222221,-13.555555,0.17967218,negative
117,-11.444445,-11.777778,0.30714995,negative
27,-17.88889,-9.888889,0.1044701,negative
242,-14.555555,19.444445,0.3716949,negative
116,3.2222223,-8.444445,0.5591711,positive
96,-18.11111,-21.444445,0.25459513,negative
226,-5.3333335,17,0.5483297,negative
16,-40.22222,-13.888889,0.23989888,negative
115,4.6666665,-8.333333,0.53858024,positive
181,-14.555555,19.777779,0.40955147,negative
190,-19.333334,-19.666666,0.28591606,negative
131,-1.4444444,-1.7777778,0.9259259,negative
191,-22.777779,-25.444445,0.3146827,negative
140,-15.333333,-12.333333,0.4443531,negative
99,-43.22222,-30.555555,0.33041757,negative
154,-8.444445,-7.111111,0.77151674,negative
111,4,-8,0.59126985,positive
108,-3.8888888,-0.5555556,0.8759259,negative
53,-26.444445,-24.777779,0.20048407,negative
107,3.4444444,-13.888889,0.3952535,positive
197,-9.222222,16.444445,0.51518697,negative
234,-5.2222223,9.111111,0.55661374,negative
134,5.111111,-6.5555553,0.6037037,positive
154,-0.8888889,-1.5555556,0.2888889,negative
49,-35.333332,-24.666666,0.246491,negative
85,-43,-30.333334,0.32860348,negative
62,-28,-25.666666,0.3227603,negative
17,-33.444443,-13.777778,0.18946369,negative
79,1.5555556,-14.111111,0.42233688,positive
120,-7.2222223,-1.8888888,0.8399471,negative
145,0,0,0,negative
133,5,-8.333333,0.53858024,positive
13,-47.666668,-25.333334,0.31315902,negative
131,0,0,0,negative
184,-5.6666665,15.333333,0.43115196,negative
34,-11,-8.666667,0.479958,negative
158,-3.7777777,-6.4444447,0.47297516,negative
61,-7.2222223,-8.222222,0.64589113,negative
111,-19.333334,-22.333334,0.29889232,negative
161,-4.7777777,-6.4444447,0.5409177,negative
120,-3.6666667,-2.3333333,0.984127,negative
62,-33.444443,-14.111111,0.19369136,negative
66,-43.333332,-27.666666,0.32066384,negative
97,-12.777778,-11.777778,0.4474942,negative
175,-12,-12,0.28683385,negative
93,-10.666667,-4.6666665,0.7601911,negative
93,0,0,0,negative
141,-11.555555,-8.555555,0.6402237,negative
188,-7.2222223,12.444445,0.3424082,negative
30,-31.666666,-17.333334,0.19250989,negative
193,-23.222221,-22.222221,0.29957896,negative
73,-9.222222,-5.2222223,0.82250714,negative
223,-5.3333335,11.333333,0.5931498,negative
106,1.3333334,-15,0.40322387,positive
76,-15.222222,-2.5555556,0.6374209,negative
116,-3.8888888,-4.888889,0.94074076,negative
115,3.1111112,-7.888889,0.5418871,positive
180,-15.555555,-20.222221,0.3009182,negative
84,-13.777778,-10.444445,0.40409946,negative
131,6,-6.6666665,0.5813492,positive
107,-13.666667,-17.666666,0.25266927,negative
105,-10.777778,-9.777778,0.36449948,negative
105,-21.222221,-8.222222,0.37578005,negative
245,-0.5555556,1.7777778,0.19104938,negative
124,-15.444445,-16.11111,0.31709695,negative
110,-24,-11.333333,0.6807869,negative
129,0.44444445,-1.2222222,0.09656084,negative
216,-10.888889,16.444445,0.44167453,negative
181,-20.222221,-25.222221,0.31734532,negative
137,-4.7777777,-5.4444447,0.7319224,negative
180,-7.4444447,12.555555,0.3762527,negative
66,-1.6666666,-9.666667,0.15200906,negative
137,-2.7777777,-1.7777778,0.95,negative
107,-7,-13,0.31155226,negative
52,-30.666666,-12.666667,0.17584935,negative
29,-27.666666,-15.666667,0.16561614,negative
186,-13.222222,-17.222221,0.26619545,negative
79,-8.777778,-15.444445,0.245206,negative
179,-12.888889,-18.88889,0.28268683,negative
194,-15.888889,-19.88889,0.30085307,negative
181,-19,-21.333334,0.30000642,negative
85,-12.444445,-18.777779,0.27872574,negative
240,-15.666667,20.666666,0.44580838,negative
126,3.5555556,-8.111111,0.5515873,positive
86,-38.666668,-16.333334,0.25155202,negative
144,-1,-1,0.7407407,negative
116,-1.4444444,-16.11111,0.40736422,positive
137,-2,-2,1,negative
88,-6.6666665,-8,0.61790985,negative
96,-9.333333,-4.3333335,0.82478386,negative
20,-26.222221,-23.222221,0.30955637,negative
17,-12.777778,-15.444445,0.26818594,negative
90,2,-14,0.38846022,positive
237,-4.888889,8.777778,0.54126585,negative
